# Program: SpeAcouPy
# Version: 0.5.1
# Generated: 2025-08-16T00:22:20.905903+02:00
Frequency (Hz),Impedance Magnitude (Ω),Impedance Phase (degrees),SPL (dB-SPL @ 1m / 2pi)
5.000000000000001,5.582948050548363,4.42860858494376,45.44757751951997
5.128734747734854,5.585085627628344,4.526663144170158,45.86092827133663
5.260784022524576,5.587283545118473,4.627085864778877,46.275393380152046
5.396233163330027,5.589544128923879,4.729931342116458,46.69092993377829
5.535169706329974,5.59186980352821,4.835255556593381,47.107496088824874
5.67768344149277,5.594263097139409,4.943115911113125,47.525051101931766
5.823866470604554,5.596726647109644,5.053571269846401,47.94355535512436
5.9738132667915025,5.599263205647172,5.166681998429993,48.36297037572456
6.127620735574607,5.6018756458392405,5.282510005675533,48.78325885124874
6.285388277496415,5.604566968006518,5.401118786879493,49.20438463971708
6.447217852360235,5.607340306411112,5.522573468831865,49.62631277578926
6.613214045123283,5.610198936341932,5.6469408566293,50.04900947313
6.78348413348639,5.6131462816029405,5.774289482404356,50.47244212339344
6.958138157223937,5.616185922431945,5.904689656093069,50.89657929220068
7.137288989298832,5.619321603879646,6.0382135183702985,51.32139071246739
7.321052408808456,5.622557244681188,6.174935095893602,51.7468472754215
7.509547175808775,5.6258969466549935,6.314930359006212,52.17292101963267
7.702895108064919,5.629345004666623,6.458277282061857,52.59958511835674
7.901221159777872,5.632905917198468,6.605055906546568,53.02681386548034
8.10465350233813,5.636584397569714,6.755348407186489,53.45458266033223
8.313323607158505,5.6403853858546436,6.909239161244955,53.88286799161005
8.527366330639655,5.644314061551745,7.066814821229258,54.31164742065394
8.746920001323168,5.648375857060579,7.228164391243524,54.74089956428085
8.972126509288621,5.65257647202857,7.393379307244231,55.17060407737787
9.203131397852315,5.656921888635491,7.562553521474399,55.60074163543628
9.440083957626959,5.661418387889635,7.735783591375309,56.03129391719398
9.683137323003145,5.6660725670166325,7.913168773297542,56.46224358753911
9.932448571114893,5.6708913580294436,8.094811121360436,56.89357428081463
10.188178823353269,5.675882047576601,8.280815591835477,57.32527058465055
10.450493349493657,5.68105229817514,8.471290153460984,57.757318024439115
10.719561674504021,5.6864101709451225,8.666345904127297,58.18970304855632
10.995557688103116,5.691964149974307,8.866097194407274,58.622413014423046
11.27865975713951,5.697723168454462,9.070661758446278,59.055436175488836
11.569050840864024,5.703696636745217,9.280160852765931,59.488761669211854
11.866918609170089,5.709894472537549,9.49471940358228,59.92237950609975
12.172455563878396,5.716327133306928,9.714466163286545,60.356280559867415
12.485859163144312,5.723005651266354,9.939533876790051,60.79045655875938
12.807331949068374,5.729941671052068,10.170059458490783,61.22490007807653
13.137081678592338,5.737147490400073,10.406184180681237,61.65960453393897
13.475321457765487,5.744636104099991,10.648053874282681,62.09456417830892
13.822269879467784,5.752421251544838,10.895819142862706,62.529774095289426
14.178151164679049,5.760517468231281,11.149635590970036,62.96523019870658
14.543195307385362,5.7689401416055555,11.409664067903208,63.40092923097417
14.91763822321635,5.777705571696144,11.676070928119486,63.83686876323072
15.30172190190946,5.786831037026147,11.949028309586538,64.2730471967287
15.695694563699695,5.796334866357098,12.22871443148233,64.7094637654453
16.09981081973593,5.806236516882585,12.515313912760348,65.1461185398719
16.514331836627438,5.816556659565829,12.809018113215899,65.58301243192628
16.939525505227014,5.827317272401518,13.110025498816555,66.02014720091665
17.375666613759712,5.838541742480518,13.418542033195962,66.45752546046965
17.823037025409164,5.850254977848195,13.734781597355806,66.89515068631532
18.28192586047616,5.862483530275492,14.058966439773911,67.33302722479982
18.752629683227294,5.8752557302089325,14.391327659280819,67.77116030197203
19.235452693554368,5.888601835334647,14.732105723239414,68.20955603306061
19.730706923568448,5.902554194385678,15.08155102374323,68.64822143212534
20.238712439255636,5.917147428045842,15.439924474738746,69.08716442162836
20.759797547324794,5.932418629061982,15.807498153173242,69.52639384162582
21.29429900738109,5.948407583975818,16.184555987472407,69.96591945823117
21.84256224956223,5.965157019233946,16.571394496856243,70.40575197094077
22.404941597778272,5.982712874838222,16.968323585208935,70.84590301834555
22.981800498699087,6.001124609169469,17.37566739341932,71.28638518167392
23.57351175663765,6.020445539167135,17.793765214301857,71.7272119855199
24.180457774480708,6.0407332206914885,18.222972474384704,72.16839789500594
24.80303080082291,6.062049874651081,18.663661787001217,72.60995830850877
25.441633183463654,6.084462865368494,19.116224081234265,73.05190954493584
26.096677629430822,6.108045238708664,19.581069811320305,73.49426882437834
26.76858747169933,6.132876328738974,20.058630251104034,73.93705424077899
27.457796942776834,6.159042443168931,20.549358878016818,74.38028472503584
28.164751455333477,6.186637639579092,21.05373285079986,74.8239799967123
28.889907890056907,6.215764606554936,21.572254584763016,75.26816050223371
29.633734890918827,6.246535666367542,22.105453427706436,75.71284733711492
30.39671316804361,6.279073918883551,22.653887438664782,76.15806214937514
31.17933580837496,6.313514550060511,23.218145270272373,76.6038270208479
31.982108594341245,6.350006332838832,23.798848153675095,77.05016432257587
32.805550330725474,6.388713353666477,24.396651982387255,77.49709653988155
33.650193179951266,6.429817004525919,25.012249488114122,77.94464606201471
34.51658300600128,6.473518288479548,25.64637249709557,78.39283493048173
35.40527972719061,6.5200404968011485,26.29979424965927,78.84168453924674
36.31685767802296,6.569632328222497,26.973331757997926,79.29121527894205
37.251905980363524,6.62257153635164,27.66784816719121,79.7414461160198
38.21102892416843,6.679169210771115,28.3842550714987,80.19239409639812
39.19484635801685,6.739774821828651,29.123514721084945,80.64407376158363
40.203994089697964,6.804782190185501,29.88664203245665,81.09649646347009
41.23912429711212,6.874636581785239,30.67470628749456,81.54966956200042
42.300905949751105,6.949843179734132,31.488832369070593,82.00359548762233
43.39002524103049,7.030977250287673,32.33020133322893,82.45827064795824
44.50718603175308,7.118696405702152,33.200050055266246,82.9136841553476
45.65311030499027,7.213755479023017,34.0996696050434,83.36981634892048
46.828538632675134,7.31702467454959,35.030401899067385,83.82663708166575
48.034230654208976,7.42951185628014,35.99363403446904,84.28410373963429
49.27096556739045,7.552390104403674,36.99078952069431,84.74215895708868
50.53954263198456,7.687032034707657,38.023315371255364,85.20072798825564
51.84078168625723,7.835052878290647,39.09266367558632,85.65971569362866
53.17552367680881,7.998365019451487,40.20026580413261,86.1190030968933
54.54463120204933,8.179247678619618,41.34749675544077,86.57844346804555
55.9489890696666,8.380436842954087,42.53562625271121,87.0378578898876
57.389504868447304,8.60524260451798,43.76575191693564,87.4970302697944
58.86710955482084,8.85770410450291,45.03870799268216,87.95570176773744
60.3827580545048,9.14279685033428,46.35494037271491,88.4135646266557
61.93742987964106,9.466714175703698,47.71433455120189,88.87025541439039
63.532129761821196,9.837255581367403,49.11597677279431,89.32534771994017
65.16788830141039,10.264372281524146,50.55781853919336,89.77834439344379
66.8457626335894,10.760949229723296,52.036198095670414,90.22866948190305
68.5668371115452,11.343951962700016,53.54514454627861,90.67566009385305
70.33222400725148,12.036152528870229,55.07534118530339,91.11855852784123
72.14306423029241,12.868804935736962,56.61253505047597,91.55650512191391
74.0005280651936,13.885936586860057,58.13500855926861,91.98853242167797
75.90581592773731,15.151511123780747,59.60938480684004,92.41356141581423
77.86015914075038,16.76195693638477,60.98330284772928,92.8304007368385
79.86482072986647,18.86933577221725,62.17181438293326,93.2377498502008
81.92109623977618,21.72715190507734,63.03015178733162,93.63420732637977
84.0303145714942,25.78853116642621,63.293906414845594,94.0182852701709
86.19383884118253,31.937620037310154,62.431265119323314,94.3884308258413
88.41306726108614,42.09018794471138,59.21952253498114,94.743055345718
90.68943404315024,60.72053632394815,50.30855495678361,95.08057127664955
93.02441032590254,93.44659558561641,25.59755279936593,95.39943608601868
95.41950512520022,97.19525503770866,-20.673499810769897,95.69820166260742
97.87626630945564,62.80833986551703,-48.770498359334425,95.97556668651362
100.39628159997103,42.19574376708889,-58.78882229066754,96.23042861519167
