# Program: SpeAcouPy
# Version: 0.5.1
# Generated: 2025-08-14T09:30:31.527712+02:00
Frequency (Hz),Impedance Magnitude (Ω),Impedance Phase (degrees),SPL (dB-SPL @ 1m / 2pi)
20.000000000000004,10.746976818317195,55.38234003374862,80.58017458732002
20.420042949167975,11.02104915618077,56.112106698764876,80.84407069826234
20.848907702293236,11.31374267995507,56.84032871418398,81.10600120643167
21.28677953620334,11.626857998001315,57.56621298207119,81.36595632513382
21.73384761893711,11.96243643555282,58.288874180815014,81.62392684561522
22.19030509146839,12.322801641632685,59.007318536165826,81.87990409246407
22.656349151146262,12.710610090470558,59.7204240148705,82.13387987486912
23.132181136887596,13.128912768109751,60.42691601435237,82.38584643392373
23.6180066161589,13.581231032054683,61.125337337677564,82.63579638619282
24.114035473784902,14.071650575960927,61.81401085683498,82.88372266378775
24.620482002622392,14.604938723194662,62.49099273690189,83.12961845122103
25.13756499613832,15.186692060031495,63.15401335673559,83.3734771193385
25.665507842932293,15.823523920117808,63.800402025462716,83.61529215665098
26.204538623244243,16.523304775776634,64.4269901172479,83.85505709840965
26.75489020748892,17.29547368152585,65.02998511241276,84.09276545379169
27.31680035685987,18.151446330710915,65.60480490045279,84.32841063158153
27.890511826046275,19.105156257930513,66.14585702615693,84.56198586475261
28.476272468107112,20.17378222432586,66.64624045803288,84.79348413437044
29.074335341547837,21.37874009489052,67.0973364536159,85.0228980932542
29.684958819645953,22.747056958880965,67.48823767454752,85.2502199898478
30.30840670207265,24.31330806647441,67.80493646781846,85.47544159276387
30.944948328858697,26.122399396767474,68.0291462697495,85.69855411647673
31.59485869675391,28.233648854360997,68.13654974830598,85.91954814864907
32.25841857803041,30.726908879999375,68.09412551056332,86.13841357958745
32.93591464178095,33.71197744536016,67.85594632217322,86.35513953432852
33.627639577764846,37.34343653478903,67.35635143009424,86.56971430786469
34.33389222285494,41.84464231408637,66.49843008572239,86.78212530402251
35.054977690140106,47.547321163775514,65.13377801666232,86.9923589785114
35.791207500739304,54.95727228506596,63.025318986414845,87.20040078666102
36.54289971838397,64.85866181517775,59.7761472176374,87.40623513636712
37.31037908682695,78.44281277294502,54.69036768475843,87.60984534676247
38.093977170137244,97.2368637511221,46.51721684011713,87.81121361312614
38.89403249594133,121.51213170234598,33.17198270647279,88.01032097853707
39.710890701672845,143.3840664281391,12.666964552268837,88.20714731276802
40.544904683893726,143.27106350730355,-12.030155813677737,88.40167129890273
41.39643475075158,121.14063167631305,-32.58396334409676,88.59387042814208
42.265848777638844,96.63970727340548,-45.96322920559834,88.7837210032432
43.15352236612119,77.69868904216125,-54.14037620427089,88.97119815100905
44.059839006203774,64.02585564971423,-59.20678867395071,89.15627584421489
44.985190242005366,54.07046125304522,-62.41928001248513,89.33892693332014
45.92997584091208,46.62674272205595,-64.47715140563747,89.51912318826977
46.894603966283604,40.90252423089844,-65.77914102197248,89.69683535064037
47.8794913537867,36.387531049742556,-66.56335343772531,89.87203319632714
48.88506349143204,32.74744838523005,-66.97881201043315,90.04468560890393
49.91175480339227,29.75736240382245,-67.12283251225979,90.21476066371632
50.96000883768056,27.26171722533663,-67.06136562103654,90.38222572268766
52.03027845777082,25.15008446017417,-66.8405656692916,90.54704753973152
53.12302603824248,23.34219078616003,-66.49364716143964,90.70919237656938
54.238723664533985,21.77842953280993,-66.04510314761822,90.86862612865282
55.37785333689187,20.413691762566184,-65.51338844198665,91.02531446078251
56.54090717860284,19.213256491559765,-64.91267763060569,91.17922295190583
57.72838764859949,18.14998996801591,-64.25404759746203,91.33031724846049
58.94080775853097,17.20239690283514,-63.54629181834795,91.47856322551448
60.17869129439277,16.35323845265847,-62.796492962220455,91.62392715483622
61.44257304281105,15.588534958691953,-62.010433175872876,91.76637587891241
62.7329990220796,14.8968348181372,-61.19289307516986,91.9058769898193
64.05052671804886,14.268670632063955,-60.347872976586785,92.04239901174638
65.39572532496943,13.696149242033451,-59.47875885765981,92.1759115858726
66.76917599139337,13.172638893547354,-58.588448408319806,92.30638565620717
68.17147207124039,12.692527812772958,-57.679447845579915,92.43379365493155
69.60321938013668,12.251035947817954,-56.75394702215645,92.55810968571787
71.06503645713758,11.844066747895303,-55.813878219432894,92.67930970345638
72.55755483194686,11.468089419174376,-54.86096253493844,92.79737168879969
74.08141929774824,11.12004461149943,-53.89674673618072,92.91227581592733
75.63728818976702,10.797268287063345,-52.92263271475744,93.02400461195342
77.22583366968189,10.497429820868625,-51.9399011438727,93.13254310644014
78.84774201601032,10.218481331823197,-50.94973055624109,93.23787896954451
80.50371392059235,9.958615943932568,-49.95321277549118,93.34000263741315
82.19446479130134,9.71623319928652,-48.95136542342112,93.4389074235491
83.92072506111242,9.489910237356062,-47.94514206752544,93.53458961500571
85.68324050366164,9.278377653118527,-46.93544045381114,93.62704855241253
87.48277255543296,9.080499174429056,-45.92310917888065,93.71628669300532
89.32009864471172,8.895254474675939,-44.90895308526996,93.80230965601412
91.19601252744667,8.72172457306646,-43.893737609780004,93.8851262499552
93.11132463016608,8.5590793814116,-42.87819227214521,93.96474848157422
95.06686240009564,8.406567040062132,-41.863013457974574,94.04119154639116
97.06347066262975,8.263504751954924,-40.84886662334549,94.11447380100387
99.10201198631026,8.129270876510963,-39.83638802713199,94.18461671750678
101.18336705547073,8.003298087378736,-38.82618607990531,94.25164482057656
103.308435050707,7.885067432019981,-37.81884238414628,94.31558560795938
105.47813403733835,7.774103158639498,-36.81491252886599,94.37646945526409
107.69340136202726,7.6699681983175365,-35.81492669201458,94.43432950611815
109.95519405772906,7.572260208461136,-34.81939009587143,94.48920154887746
112.26448925714634,7.480608098668312,-33.82878335363887,94.54112388119322
114.62228461486673,7.394668972438839,-32.84356273947628,94.59013716383038
117.0295987383667,7.314125428374735,-31.86416040902941,94.63628426519912
119.48747162806708,7.238683172993897,-30.890984592992936,94.67961009810591
121.99696512663098,7.1680689043523955,-29.924419782287003,94.72016145025108
124.5591633776976,7.102028431590144,-28.964826919949047,94.7579868100005
127.17517329425077,7.0403250004872735,-28.01254361177871,94.79313618893629
129.84612503682402,6.9827377993104225,-27.067884365073922,94.82566094265103
132.57317250174907,6.929060622773675,-26.131140862425752,94.85561359119218
135.35749381965852,6.8791006749475345,-25.202582275461566,94.88304764048918
138.20029186445828,6.832677494510335,-24.282455621620528,94.90801740600986
141.10279477298937,6.789621987922907,-23.37098616548272,94.93057783979606
144.06625647560384,6.749775557979297,-22.468377864841443,94.95078436192271
147.09195723788395,6.712989316793459,-21.574813860582083,94.96869269731489
150.18120421373845,6.679123373665112,-20.690457008499266,94.98435871874206
153.33533201011528,6.648046189461469,-19.815450450426198,94.9978382966942
156.55570326357423,6.61963399018376,-18.94991822145471,95.0091871567293
159.84370922896912,6.593770233281984,-18.093965889571052,95.01846074476852
163.2007703804933,6.570345121058316,-17.24768122371262,95.02571410070817
166.62833702534869,6.549255156175458,-16.41113488604276,95.0310017406124
170.1278899303028,6.530402734875496,-15.584381144138092,95.03437754765487
173.70094096140522,6.513695774029161,-14.767458598763966,95.0358946718865
177.34903373713925,6.499047368585208,-13.960390922973858,95.03560543882381
181.07374429529116,6.486375476383393,-13.163187608388967,95.03356126677863
184.87668177382523,6.475602627639854,-12.375844714687616,95.02981259278256
188.75948910605857,6.466655656716722,-11.598345618549104,95.02440880690207
192.723843730436,6.4594654540541825,-10.830661758540543,95.01739819469026
196.771458315212,6.453966736377441,-10.07275337270724,95.00882788747829
200.9040814983522,6.450097833497378,-9.324570225908673,94.99874382017629
205.12349864297454,6.447800490205528,-8.586052324236363,94.98719069622476
209.43153260865714,6.447019681924336,-7.85713061414495,94.97421195931737
213.83004453894236,6.447703442915392,-7.137727664221757,94.95984977150123
218.32093466538538,6.449802705973346,-6.427758327804639,94.94414499725117
222.906143128483,6.453271152643968,-5.727130384938221,94.92713719311062
227.58765081585054,6.458065073102782,-5.035745162418522,94.90886460249175
232.36748021799536,6.464143234917402,-4.353498130930035,94.8893641552313
237.24769630207047,6.471466759993757,-3.680279478507515,94.86867147150633
242.23040740397167,6.479999009074594,-3.0159746597763615,94.84682086972359
247.31776613917808,6.489705473219384,-2.360464920617943,94.82384537800928
252.51197033271458,6.5005536717486265,-1.7136277980917214,94.79977674893985
257.8152639686533,6.5125130561836695,-1.07533759560377,94.77464547717034
263.2299381595487,6.5255549197558524,-0.4454658334601618,94.74848081963418
268.75833213624094,6.53965231209707,0.17611832493270185,94.72131081800504
274.40283425843927,6.554779958757881,0.7895476708426656,94.6931623231305
280.16588304653783,6.5709141852298965,1.3949565714917753,94.66406102116538
286.0499682350934,6.588032845176414,1.9924806142855118,94.63403146115049
292.0576318484374,6.606115252599943,2.5822562733714847,94.60309708380159
298.19146929886864,6.625142117697139,3.1644205978476236,94.57128025129066
304.45413050792035,6.645095486171675,3.7391109208995204,94.5386022778193
310.8483210511659,6.665958681793329,4.306464589107833,94.50508346080062
317.37680332707845,6.68771625200782,4.866618711146515,94.47074311248265
324.0423977504286,6.7103539164164605,5.4197099250713165,94.43559959186118
330.8479839707565,6.733858517958073,5.965874183393112,94.39967033674493
337.7965021164239,6.758217976637446,6.505246555124103,94.36297189585011
344.89095406480465,6.783421245655819,7.03796104399126,94.32551996081355
352.13440473914113,6.809458269808615,7.564150422016269,94.28732939802714
359.5299834326483,6.83631994602498,8.083946077676131,94.24841428020656
367.0808851604161,6.863998085931835,8.59747787787154,94.20878791761857
374.79037203971507,6.892485380333003,9.104874042951252,94.16846288890068
382.6617746992808,6.921775365500842,9.606261034059429,94.1274510714162
390.698493718208,6.951862391184402,10.101763452097856,94.08576367109595
398.9040010950517,6.982741590244011,10.591503947617383,94.04341125172522
407.2818417477955,7.01440884982783,11.075603140980462,94.00040376364238
415.83563504531054,7.0468607840108834,11.55417955216106,93.95675057182044
424.56907637098936,7.080094707821935,12.027349539576477,93.91246048330983
433.48593871920855,7.11410861258791,12.495227247371218,93.86754177402521
442.59007432533224,7.148901142529683,12.957924560601612,93.8220022148634
451.88541632993594,7.184471572546817,13.415551067794297,93.77584909714412
461.37598047799713,7.220819787132553,13.868214030380898,93.72908925736849
471.06586685375925,7.257946260363395,14.316018358534052,93.68172910129343
480.9592616520403,7.29585203691109,14.759066592957737,93.6337746273226
491.060438986739,7.334538714027369,15.197458892207266,93.58523144921718
501.3737627373245,7.374008424454872,15.631293025139968,93.53610481813136
511.90368843410596,7.414263820219987,16.06066436811858,93.48639964397935
522.6547651830971,7.455308057265865,16.485665906612496,93.43612051614153
533.6316376313073,7.497144780886158,16.90638824086335,93.38527172351846
544.8390479733067,7.539778111922076,17.322919595300135,93.33385727394271
556.2818379999356,7.583212633687462,17.73534583141054,93.28188091295773
567.9649511900393,7.62745337958836,18.143750463790752,93.22934614197388
579.8934348461347,7.672505821405484,18.548214679116143,93.17625623581148
592.0724422749305,7.718375858209528,18.948817357789636,93.12261425964022
604.5072350136428,7.765069805880978,19.345635098041498,93.0684230853236
617.2031851030681,7.8125943872074535,19.73874224226799,93.01368540717654
630.1657774083961,7.860956722533167,20.12821090541121,92.95840375714266
643.4006119887637,7.9101643209362615,20.514111005194962,92.90258051939753
656.9134065165756,7.960225071911226,20.896510294043793,92.84621794438112
670.7099987476356,8.011147237534551,21.27547439252399,92.78931816226324
684.7963490431558,8.062939445093138,21.65106682415643,92.73188319584138
699.1785429447332,8.11561068015587,22.023349051460826,92.67391497287119
713.8627938034068,8.169170280069764,22.392380513100505,92.61541533782506
728.8554454639304,8.223627927863108,22.75821866200613,92.55638606307443
744.1629750054207,8.278993646538815,23.120919004364424,92.49682885948724
759.7919955395653,8.335277793742055,23.480535139365657,92.43674538643127
775.749259067598,8.392491056786943,23.837118799611403,92.37613726117027
792.0416593972792,8.450644448027843,24.190719892089533,92.31500606763862
808.6762351211356,8.50974930056148,24.541386539630622,92.25335336457753
825.6601726572522,8.569817264246584,24.889165122764524,92.19118069301345
843.0008093539269,8.63086030202855,25.234100321902105,92.12848958305842
860.7056366595273,8.69289068655682,25.576235159769936,92.06528156000937
878.7823033589258,8.755920997083512,25.91561104403266,92.00155814972342
897.2386188779011,8.819964116631954,26.252267810038603,91.93732088324492
916.0825566569446,8.885033229424417,26.586243763630222,91.87257130066028
935.3222575959205,8.951141818558497,26.917575723962244,91.80731095415787
954.9660335710724,9.018303663922111,27.24629906627362,91.74154141027151
975.0223710258942,9.086532840337302,27.572447764562327,91.67526425128983
995.4999346374175,9.155843715923254,27.8960544341127,91.60848107581737
1016.4075710594988,9.226250950669293,28.217150373827707,91.54119349847967
1037.7543127447232,9.297769495208888,28.535765608319565,91.47340314877195
1059.549381846577,9.370414589785836,28.851928929712557,91.40511166905965
1081.802194203574,9.444201763404084,29.165667939113746,91.33632071175198
1104.5223634070553,9.519146833153037,29.47700908770642,91.26703193568102
1127.7197049544304,9.5952659037002,29.785977717422583,91.19724700173677
1151.404240489624,9.672575366943558,30.092598101149292,91.12696756782543
1175.5862021326138,9.751091901816443,30.396893482426208,91.05619528323844
1200.2760368998606,9.830832474237738,30.69888611458731,90.984931782544
1225.484411217615,9.911814337201248,30.998597299304407,90.91317867913538
1251.2222155299748,9.994055030998164,31.296047424485778,90.84093755859881
1277.500569003761,10.077572383567446,31.59125600148525,90.7682099720897
1304.330824332165,10.16238451096969,31.884241701576713,90.69499742993601
1331.7245726393248,10.248509817980937,32.17502239164966,90.62130139571312
1359.6936484878674,10.335966998803759,32.46361516908135,90.54712328106422
1388.250134991659,10.424775037894465,32.75003639574436,90.47246444156107
1417.4063690358944,10.514953210906105,33.03430173110803,90.39732617392188
1447.174946606861,10.606521085748867,33.31642616439845,90.32170971491509
1477.568728233597,10.699498523770691,33.596424045782044,90.24561624228328
1508.6008445438792,10.79390568106294,33.87430911654701,90.1690468780164
1540.2847019368528,10.889763009897225,34.1500945382592,90.09200269428435
1572.6339883748478,10.987091260302126,34.42379292088066,90.01448472230534
1605.6626792967843,11.085911481789491,34.695416349846,89.936493964374
1639.3850436558246,11.186245025242354,34.96497641210328,89.85803140920143
1673.8156500837756,11.288113544977744,35.232484221138606,89.77909805062389
1708.9693731850123,11.391539000999309,35.497950441017394,89.6996949096202
1744.8613999625288,11.496543661455085,35.7613853094893,89.61982305943536
1781.5072363790118,11.603150105316894,36.02279866022042,89.5394836534449
1818.9227140556463,11.711381225296797,36.282199944230996,89.45867795521107
1857.1239971116754,11.82126023101596,36.53959825063447,89.37740736998111
1896.1275891475436,11.93281065243855,36.795002326786204,89.29567347667381
1935.9503403747601,12.046056343580968,37.04842059796516,89.21347805919066
1976.6094548954459,12.161021486502156,37.29986118672025,89.13082313569888
2018.1224981348248,12.277730595576104,37.54933193202055,89.04771098436557
2060.5074044297644,12.396208522040427,37.79684040834832,88.96414416390556
2103.7824847767206,12.516480458808147,38.04239394486956,88.88012552725122
2147.9664347423977,12.638571945520985,38.28599964480341,88.79565822668398
2193.0783425405484,12.762508873813372,38.52766440509049,88.71074570890606
2239.137697278405,12.888317492747195,38.76739493643154,88.62539169879506
2286.1643973763057,13.016024414368314,39.0051977837272,88.53960017098598
2334.1787591641437,13.145656619327465,39.24107934690218,88.45337530897828
2383.201525658371,13.277241462502241,39.47504590204255,88.36672145216012
2433.2538755233286,13.410806678552714,39.7071036227112,88.27964303197442
2484.3574322207896,13.546380387342882,39.93725860124434,88.19214449937905
2536.534273351659,13.683991099164185,40.1655168697655,88.10423024673844
2589.806940193873,13.82366771970639,40.39188442059731,88.01590452825245
2644.1984474406086,13.965439554735624,40.61636722570202,87.92717138389166
2699.732293143025,14.109336314459789,40.8389712547519,87.83803457246684
2756.432468861816,14.25538811758777,41.059702491423536,87.74849751978869
2814.323470031969,14.403625495119382,41.2785669475314,87.65856328776194
2873.430306545213,14.554079393936735,41.49557067467185,87.56823456958584
2933.7785135547065,14.70678118030266,41.710719773141875,87.47751371492964
2995.3941625066645,14.861762643403905,41.92402039802576,87.38640278696607
3058.303872403656,15.019055999103598,42.135478762505386,87.29490365052703
3122.534821304469,15.178693894083612,42.34510113863831,87.2030180874938
3188.1147580654897,15.340709410560017,42.552893856046495,87.11074793208948
3255.072014328678,15.505136071738427,42.75886329915298,87.01809521532113
3323.4355167613157,15.67200784814058,42.96301590376939,86.92506230486664
3393.234799552816,15.84135916487538,43.16535815395068,86.83165202471352
3464.500017173994,16.013224909851175,43.36589658006878,86.73786773837162
3537.261957404307,16.187640442834525,43.564637758996184,86.64371338096429
3611.5520546326957,16.364641605163698,43.76158831711393,86.54919342928758
3687.4024034377744,16.54426472983338,43.95675493657262,86.45431280508362
3764.8457724532286,16.72654665159495,44.15014436484367,86.35907671500703
3843.9156185244196,16.911524716679544,44.34176342714352,86.26349044034882
3924.646101162311,17.0992367917625,44.5316190408376,86.16755909932098
4007.0720973009506,17.289721271856802,44.719718230505805,86.07128741299354
4091.2292163649004,17.483017086953506,44.90606814205191,85.97467951097725
4177.153815653105,17.6791637074102,45.09067605413628,85.8777388128465
4264.883016045864,17.878201148306854,45.273549385371325,85.78046801473299
4354.4547180416785,18.080169973208204,45.454695696159945,85.68286919700732
4445.90761813091,18.285111297956416,45.634122684767874,85.58494404933032
4539.281225513313,18.493066795219118,45.81183817812081,85.48669418604113
4634.615879166684,18.704078700499725,45.98785011877254,85.3881215019226
4731.952765273979,18.918189820152033,46.16216655032133,85.2892285011042
4831.33393501644,19.13544354163416,46.334795604055614,85.19001852582248
4932.80232274042,19.35588384582145,46.505745489613446,85.0904958214561
5036.401764505746,19.579555320748796,46.67502449183203,84.99066540154301
5142.177017023635,19.80650317577074,46.84264097477049,84.89053271899294
5250.173776992354,20.036773254924203,47.0086033922766,84.7901032000598
5360.438700838965,20.270412048349055,47.17292030276525,84.68938174379952
5473.019424875692,20.507466701008934,47.335600384516425,84.5883723171385
5587.964585879611,20.74798501861977,47.49665244722274,84.48707777096958
5705.3238421045635,20.99201547150406,47.656085436047675,84.38549995871313
5825.147894734361,21.23960719783003,47.813908426154,84.28364015929786
5947.488509786553,21.490810008112508,47.97013060824139,84.18149970889048
6072.398540476221,21.74567439273845,48.12476126842924,84.07908065935152
6199.931950049468,22.004251533551532,48.27780976794858,83.97638624086326
6330.143835096444,22.266593319312836,48.42928552868602,83.8734209390396
6463.090449354012,22.532752363493294,48.57919802914273,83.77019010974851
6598.829228008313,22.802782021841075,48.72755681198771,83.66669922299585
6737.418812507734,23.076736406992172,48.8743715000565,83.56295299386666
6878.919075897011,23.35467039830759,49.01965181395528,83.45895474996254
7023.391148683391,23.636639646970178,49.16340758306586,83.35470633929147
7170.897445246052,23.92270057852276,49.30564874375091,83.25020868580907
7321.5016908001635,24.21291039653548,49.4463853236536,83.14546280898037
7475.268948927264,24.507327091077205,49.585627417325895,83.04047086322322
7632.265649683822,24.80600945381423,49.723385163094036,82.93523666930994
7792.559618300153,25.10901709845243,49.85966873135612,82.82976539505698
7956.220104482055,25.416410482311512,49.99448832943628,82.72406246039387
8123.317812327862,25.728250923781886,50.12785421953225,82.61813220340838
8293.924930873809,26.044600612277897,50.25977673852287,82.51197707500143
8468.11516528091,26.36552261152662,50.390266306277425,82.40559792307354
8645.96376867684,26.691080861410363,50.51933341497784,82.29899530869997
8827.547574666563,27.021340185235925,50.64698860344521,82.19217109007357
9012.94503052574,27.356366306528102,50.77324243078499,82.08512920054588
9202.236231091283,27.696225873324664,50.89810546537137,81.97787496579245
9395.50295336368,28.040986482361955,51.02158829552448,81.87041331007903
9592.828691836045,28.390716694920645,51.14370155255111,81.76274713102025
9794.298694565141,28.745486041939497,51.26445592644944,81.65487718211315
10000.0,29.105365024718708,51.383862158911626,81.54680372683279
