x [m]	A [cm²]	H [cm]	r [cm]
0.000	 400.00	   6.7	  11.3
0.050	 432.64	   7.2	  11.7
0.100	 466.56	   7.8	  12.2
0.150	 501.76	   8.4	  12.6
0.200	 538.24	   9.0	  13.1
0.250	 576.00	   9.6	  13.5
0.300	 615.04	  10.3	  14.0
0.350	 655.36	  10.9	  14.4
0.400	 696.96	  11.6	  14.9
0.450	 739.84	  12.3	  15.3
0.500	 784.00	  13.1	  15.8
0.550	 829.44	  13.8	  16.2
0.600	 876.16	  14.6	  16.7
0.650	 924.16	  15.4	  17.2
0.700	 973.44	  16.2	  17.6
0.750	1024.00	  17.1	  18.1
0.800	1075.84	  17.9	  18.5
0.850	1128.96	  18.8	  19.0
0.900	1183.36	  19.7	  19.4
0.950	1239.04	  20.7	  19.9
1.000	1296.00	  21.6	  20.3
1.050	1354.24	  22.6	  20.8
1.100	1413.76	  23.6	  21.2
1.150	1474.56	  24.6	  21.7
1.200	1536.64	  25.6	  22.1
1.250	1600.00	  26.7	  22.6
1.300	1664.64	  27.7	  23.0
1.350	1730.56	  28.8	  23.5
1.400	1797.76	  30.0	  23.9
1.450	1866.24	  31.1	  24.4
1.500	1936.00	  32.3	  24.8
1.550	2007.04	  33.5	  25.3
1.600	2079.36	  34.7	  25.7
1.650	2152.96	  35.9	  26.2
1.700	2227.84	  37.1	  26.6
1.750	2304.00	  38.4	  27.1
1.800	2381.44	  39.7	  27.5
1.850	2460.16	  41.0	  28.0
1.900	2540.16	  42.3	  28.4
1.950	2621.44	  43.7	  28.9
2.000	2704.00	  45.1	  29.3
2.050	2787.84	  46.5	  29.8
2.100	2872.96	  47.9	  30.2
2.150	2959.36	  49.3	  30.7
2.200	3047.04	  50.8	  31.1
2.250	3136.00	  52.3	  31.6
2.300	3226.24	  53.8	  32.0
2.350	3317.76	  55.3	  32.5
2.400	3410.56	  56.8	  32.9
2.450	3504.64	  58.4	  33.4
2.500	3600.00	  60.0	  33.9
