x [m]	A [cm²]	H [cm]	r [cm]
0.000	 200.00	  10.0	   8.0
0.016	 202.79	  10.1	   8.0
0.032	 205.62	  10.3	   8.1
0.048	 208.49	  10.4	   8.1
0.064	 211.40	  10.6	   8.2
0.080	 214.35	  10.7	   8.3
0.096	 217.35	  10.9	   8.3
0.112	 220.38	  11.0	   8.4
0.128	 223.46	  11.2	   8.4
0.144	 226.58	  11.3	   8.5
0.160	 229.74	  11.5	   8.6
0.176	 232.95	  11.6	   8.6
0.192	 236.20	  11.8	   8.7
0.208	 239.50	  12.0	   8.7
0.224	 242.84	  12.1	   8.8
0.240	 246.23	  12.3	   8.9
0.256	 249.67	  12.5	   8.9
0.272	 253.15	  12.7	   9.0
0.288	 256.69	  12.8	   9.0
0.304	 260.27	  13.0	   9.1
0.320	 263.90	  13.2	   9.2
0.336	 267.59	  13.4	   9.2
0.352	 271.32	  13.6	   9.3
0.368	 275.11	  13.8	   9.4
0.384	 278.95	  13.9	   9.4
0.400	 282.84	  14.1	   9.5
0.416	 286.79	  14.3	   9.6
0.432	 290.79	  14.5	   9.6
0.448	 294.85	  14.7	   9.7
0.464	 298.97	  14.9	   9.8
0.480	 303.14	  15.2	   9.8
0.496	 307.38	  15.4	   9.9
0.512	 311.67	  15.6	  10.0
0.528	 316.02	  15.8	  10.0
0.544	 320.43	  16.0	  10.1
0.560	 324.90	  16.2	  10.2
0.576	 329.44	  16.5	  10.2
0.592	 334.04	  16.7	  10.3
0.608	 338.70	  16.9	  10.4
0.624	 343.43	  17.2	  10.5
0.640	 348.22	  17.4	  10.5
0.656	 353.08	  17.7	  10.6
0.672	 358.01	  17.9	  10.7
0.688	 363.01	  18.2	  10.7
0.704	 368.08	  18.4	  10.8
0.720	 373.21	  18.7	  10.9
0.736	 378.42	  18.9	  11.0
0.752	 383.71	  19.2	  11.1
0.768	 389.06	  19.5	  11.1
0.784	 394.49	  19.7	  11.2
0.800	 400.00	  20.0	  11.3
