f	SPL	Zel	x1	SPLmax	Pmax	Zreal	Zimag	x2	Pmax2
[Hz]	[dB]	[Ohm]	[mm]	[dB]	[W]			[mm]	[W]
 10.00	26.38	11.563	2.99E+00	19.87	0.224	-0.005	0.116		
 10.80	29.01	12.243	2.91E+00	22.76	0.237	-0.005	0.125		
 11.66	31.59	13.077	2.81E+00	25.61	0.253	-0.005	0.135		
 12.59	34.10	14.114	2.71E+00	28.44	0.272	-0.005	0.146		
 13.59	36.57	15.423	2.61E+00	31.26	0.294	-0.005	0.158		
 14.68	38.99	17.107	2.50E+00	34.05	0.321	-0.005	0.171		
 15.85	41.37	19.329	2.38E+00	36.83	0.353	-0.005	0.185		
 17.12	43.70	22.357	2.26E+00	39.61	0.390	-0.005	0.200		
 18.48	45.99	26.667	2.14E+00	42.38	0.436	-0.005	0.217		
 19.96	48.24	33.163	2.02E+00	45.14	0.491	-0.005	0.235		
 21.55	50.45	43.676	1.90E+00	47.91	0.557	-0.005	0.255		
 23.27	52.63	61.684	1.77E+00	50.67	0.638	-0.005	0.277		
 25.13	54.77	86.324	1.65E+00	53.44	0.738	-0.005	0.301		
 27.13	56.88	83.228	1.53E+00	56.22	0.860	-0.005	0.327		
 29.30	58.96	58.118	1.41E+00	59.01	1.012	-0.005	0.356		
 31.63	61.02	41.219	1.29E+00	61.81	1.202	-0.005	0.388		
 34.16	63.05	31.344	1.18E+00	64.63	1.441	-0.005	0.424		
 36.88	65.05	25.185	1.07E+00	67.47	1.746	-0.005	0.464		
 39.83	67.04	21.062	9.68E-01	70.34	2.137	-0.005	0.509		
 43.01	69.02	18.144	8.70E-01	73.24	2.645	-0.004	0.561		
 46.44	70.99	15.989	7.78E-01	76.18	3.312	-0.004	0.620		
 50.14	72.95	14.345	6.91E-01	79.18	4.199	-0.004	0.688		
 54.15	74.93	13.059	6.09E-01	82.24	5.399	-0.003	0.769		
 58.47	76.92	12.032	5.33E-01	85.39	7.052	-0.003	0.867		
 63.13	78.94	11.198	4.62E-01	88.65	9.384	-0.001	0.987		
 68.17	81.00	10.511	3.96E-01	92.06	12.779	0.001	1.140		
 73.61	83.14	 9.938	3.34E-01	95.67	17.943	0.004	1.344		
 79.48	85.38	 9.454	2.76E-01	99.58	26.334	0.012	1.632		
 85.83	87.76	 9.043	2.20E-01	103.94	41.503	0.028	2.078		
 92.68	90.36	 8.695	1.64E-01	109.09	74.750	0.075	2.878		
100.07	93.25	 8.420	1.04E-01	113.24	100.000	0.278	4.792		
108.06	96.56	 8.289	3.37E-02	116.55	100.000	4.279	15.744		
116.68	100.34	 8.673	6.79E-02	120.34	100.000	1.872	-9.076		
125.99	103.85	12.249	2.05E-01	120.65	47.856	0.344	-3.331		
136.05	104.38	46.515	2.76E-01	118.59	26.358	0.159	-1.859		
146.90	102.36	16.834	2.37E-01	117.89	35.733	0.102	-1.160		
158.63	100.33	11.926	1.87E-01	117.89	57.070	0.078	-0.728		
171.28	98.83	10.384	1.49E-01	118.35	89.732	0.068	-0.414		
184.95	97.78	 9.657	1.21E-01	117.78	100.000	0.066	-0.153		
199.71	97.10	 9.241	9.83E-02	117.10	100.000	0.072	0.091		
215.65	96.76	 8.974	8.01E-02	116.76	100.000	0.088	0.350		
232.86	96.79	 8.795	6.48E-02	116.78	100.000	0.128	0.671		
251.44	97.31	 8.678	5.11E-02	117.31	100.000	0.237	1.155		
271.51	98.73	 8.650	3.71E-02	118.72	100.000	0.710	2.151		
293.17	102.03	 9.120	2.17E-02	122.03	100.000	5.798	2.764		
316.57	102.06	11.222	5.57E-02	122.06	100.000	1.402	-2.388		
341.83	91.58	 9.045	4.33E-02	111.57	100.000	0.409	-1.021		
369.11	83.35	 8.704	3.32E-02	103.34	100.000	0.243	-0.378		
398.57	78.25	 8.602	2.63E-02	98.25	100.000	0.225	0.089		
430.37	80.72	 8.576	2.10E-02	100.72	100.000	0.328	0.599		
464.72	90.31	 8.642	1.61E-02	110.31	100.000	0.947	1.418		
501.80	101.36	 9.192	1.54E-02	121.36	100.000	3.258	-0.660		
541.84	99.21	 8.732	1.60E-02	119.20	100.000	0.706	-0.921		
585.08	96.81	 8.630	1.26E-02	116.81	100.000	0.373	-0.162		
631.77	96.65	 8.650	1.00E-02	116.64	100.000	0.483	0.488		
682.19	98.92	 8.789	7.96E-03	118.91	100.000	1.742	1.037		
736.63	94.40	 8.808	8.24E-03	114.39	100.000	1.141	-0.891		
795.41	85.78	 8.764	6.62E-03	105.77	100.000	0.495	-0.104		
858.89	80.58	 8.835	5.29E-03	100.58	100.000	0.862	0.657		
927.43	95.86	 8.951	4.89E-03	115.85	100.000	1.652	-0.575		
1001.44	95.55	 8.943	4.09E-03	115.55	100.000	0.612	-0.122		
1081.35	97.34	 9.043	3.31E-03	117.33	100.000	1.203	0.561		
1167.65	93.77	 9.115	3.00E-03	113.77	100.000	1.003	-0.475		
1260.83	84.44	 9.200	2.44E-03	104.44	100.000	0.856	0.312		
1361.44	93.80	 9.313	2.15E-03	113.79	100.000	1.291	-0.423		
1470.09	96.26	 9.413	1.77E-03	116.26	100.000	0.896	0.208		
1587.40	94.88	 9.542	1.54E-03	114.88	100.000	1.207	-0.417		
1714.08	83.29	 9.677	1.26E-03	103.28	100.000	1.152	0.304		
1850.86	95.67	 9.818	1.09E-03	115.67	100.000	0.834	-0.254		
1998.56	95.47	 9.990	9.30E-04	115.47	100.000	1.496	-0.635		
2158.05	90.16	10.172	7.60E-04	110.16	100.000	1.814	0.257		
2330.27	96.70	10.361	6.38E-04	116.69	100.000	1.217	0.424		
2516.22	82.64	10.571	5.39E-04	102.64	100.000	1.002	0.260		
2717.02	95.91	10.804	4.53E-04	115.91	100.000	1.081	0.225		
2933.84	85.46	11.061	3.80E-04	105.46	100.000	1.567	0.221		
3167.96	96.14	11.338	3.27E-04	116.13	100.000	1.989	-1.065		
3420.77	93.72	11.634	2.72E-04	113.72	100.000	0.683	-0.944		
3693.75	87.51	11.969	2.23E-04	107.50	100.000	1.777	-0.140		
3988.52	82.63	12.322	1.88E-04	102.63	100.000	0.470	-0.738		
4306.81	84.57	12.712	1.57E-04	104.57	100.000	0.356	-1.082		
