f	SPL	Zel	x1	SPLmax	Pmax	Zreal	Zimag	x2	Pmax2
[Hz]	[dB]	[Ohm]	[mm]	[dB]	[W]			[mm]	[W]
 10.00	49.48	12.177	3.13E+00	42.59	0.205	-0.006	0.258		
 10.80	52.10	13.142	3.05E+00	45.42	0.215	-0.006	0.282		
 11.66	54.71	14.423	2.96E+00	48.28	0.228	-0.007	0.310		
 12.59	57.32	16.180	2.87E+00	51.18	0.243	-0.007	0.342		
 13.59	59.93	18.711	2.76E+00	54.11	0.262	-0.008	0.378		
 14.68	62.55	22.622	2.65E+00	57.09	0.285	-0.008	0.420		
 15.85	65.18	29.343	2.53E+00	60.14	0.314	-0.009	0.470		
 17.12	67.83	43.043	2.39E+00	63.27	0.350	-0.010	0.530		
 18.48	70.51	76.856	2.25E+00	66.50	0.397	-0.011	0.605		
 19.96	73.24	79.785	2.08E+00	69.87	0.461	-0.013	0.699		
 21.55	76.01	39.212	1.90E+00	73.43	0.553	-0.017	0.825		
 23.27	78.85	23.230	1.70E+00	77.26	0.695	-0.022	1.001		
 25.13	81.74	15.752	1.45E+00	81.51	0.951	-0.032	1.271		
 27.13	84.64	11.609	1.15E+00	86.47	1.524	-0.055	1.742		
 29.30	87.43	 9.201	7.57E-01	92.86	3.492	-0.131	2.803		
 31.63	89.80	 8.019	2.80E-01	103.86	25.480	-0.903	7.583		
 34.16	91.39	 8.004	2.18E-01	107.64	42.283	-1.186	-8.899		
 36.88	92.06	 9.313	5.94E-01	99.59	5.666	-0.102	-2.671		
 39.83	92.12	12.376	8.00E-01	97.07	3.132	-0.031	-1.485		
 43.01	91.93	18.559	8.72E-01	96.14	2.635	-0.014	-0.970		
 46.44	91.72	32.931	8.67E-01	95.97	2.663	-0.007	-0.673		
 50.14	91.56	75.890	8.23E-01	96.26	2.953	-0.004	-0.471		
 54.15	91.49	63.051	7.61E-01	96.87	3.456	-0.002	-0.317		
 58.47	91.50	33.787	6.91E-01	97.73	4.194	-0.001	-0.188		
 63.13	91.62	23.122	6.18E-01	98.81	5.236	-0.001	-0.069		
 68.17	91.85	17.874	5.46E-01	100.12	6.712	0.000	0.051		
 73.61	92.24	14.731	4.75E-01	101.71	8.869	0.001	0.189		
 79.48	92.87	12.571	4.04E-01	103.75	12.269	0.003	0.373		
 85.83	93.95	10.879	3.27E-01	106.66	18.685	0.009	0.689		
 92.68	96.03	 9.325	2.23E-01	112.08	40.381	0.049	1.602		
100.07	100.09	 8.600	6.92E-02	120.09	100.000	2.430	-9.890		
108.06	93.00	36.383	3.66E-01	104.74	14.938	0.044	-1.104		
116.68	79.51	14.047	2.91E-01	93.23	23.567	0.017	-0.455		
125.99	53.51	11.478	2.36E-01	69.06	35.924	0.013	-0.153		
136.05	55.78	10.352	1.93E-01	73.09	53.851	0.015	0.093		
146.90	76.11	 9.608	1.53E-01	95.40	85.000	0.029	0.423		
158.63	92.04	 8.920	1.00E-01	112.04	100.000	0.210	1.524		
171.28	105.40	19.230	1.91E-01	122.81	55.088	0.301	-1.690		
184.95	97.39	 9.915	1.29E-01	117.39	100.000	0.044	-0.379		
199.71	95.53	 9.241	1.01E-01	115.53	100.000	0.033	0.028		
215.65	96.18	 8.891	7.69E-02	116.17	100.000	0.081	0.532		
232.86	104.55	10.882	4.81E-02	124.55	100.000	4.194	-2.728		
251.44	75.65	 9.070	7.20E-02	95.64	100.000	0.078	-0.380		
271.51	67.68	 8.750	5.50E-02	87.67	100.000	0.063	0.160		
293.17	94.94	 8.752	3.45E-02	114.94	100.000	0.948	1.683		
316.57	97.50	 8.788	4.61E-02	117.50	100.000	0.124	-0.437		
341.83	95.74	 8.596	3.47E-02	115.73	100.000	0.106	0.267		
369.11	99.58	 9.533	3.67E-02	119.58	100.000	1.251	-1.481		
398.57	77.58	 8.569	2.69E-02	97.57	100.000	0.102	0.004		
430.37	100.10	 9.079	1.92E-02	120.09	100.000	2.611	0.268		
464.72	95.37	 8.555	1.98E-02	115.36	100.000	0.125	-0.006		
501.80	97.33	 8.921	1.87E-02	117.33	100.000	1.251	-1.121		
541.84	73.77	 8.575	1.40E-02	93.77	100.000	0.208	0.296		
585.08	95.67	 8.606	1.29E-02	115.67	100.000	0.205	-0.333		
631.77	97.30	 8.836	1.13E-02	117.30	100.000	1.444	-0.903		
682.19	80.13	 8.692	8.42E-03	100.12	100.000	0.631	0.666		
736.63	95.25	 8.699	7.54E-03	115.24	100.000	0.289	0.246		
795.41	82.42	 8.742	6.54E-03	102.41	100.000	0.250	0.065		
858.89	94.74	 8.796	5.59E-03	114.73	100.000	0.270	0.047		
927.43	79.23	 8.865	4.70E-03	99.23	100.000	0.398	0.213		
1001.44	97.81	 8.985	3.97E-03	117.81	100.000	1.410	0.178		
1081.35	94.20	 9.004	3.61E-03	114.20	100.000	0.361	-0.709		
1167.65	80.19	 9.092	2.93E-03	100.19	100.000	0.428	0.011		
1260.83	87.89	 9.176	2.57E-03	107.88	100.000	0.215	-0.579		
1361.44	89.94	 9.281	2.20E-03	109.94	100.000	0.291	-0.788		
