f	SPL	Zel	x1	SPLmax	Pmax	Zreal	Zimag	x2	Pmax2
[Hz]	[dB]	[Ohm]	[mm]	[dB]	[W]			[mm]	[W]
 10.00	40.22	11.426	2.96E+00	33.80	0.228	-0.001	0.082		
 10.80	43.42	12.058	2.87E+00	37.26	0.242	-0.000	0.089		
 11.66	46.46	12.825	2.78E+00	40.58	0.259	-0.000	0.097		
 12.59	49.38	13.766	2.68E+00	43.82	0.278	-0.000	0.105		
 13.59	52.20	14.936	2.58E+00	46.99	0.301	-0.000	0.114		
 14.68	54.95	16.416	2.47E+00	50.12	0.329	-0.000	0.124		
 15.85	57.65	18.329	2.35E+00	53.22	0.361	-0.000	0.136		
 17.12	60.30	20.873	2.24E+00	56.31	0.400	-0.000	0.149		
 18.48	62.93	24.389	2.12E+00	59.41	0.445	-0.000	0.163		
 19.96	65.55	29.496	2.00E+00	62.54	0.500	-0.000	0.180		
 21.55	68.17	37.430	1.88E+00	65.70	0.566	-0.000	0.199		
 23.27	70.82	50.731	1.76E+00	68.92	0.646	0.000	0.221		
 25.13	73.51	72.797	1.64E+00	72.23	0.744	0.000	0.247		
 27.13	76.28	87.093	1.52E+00	75.65	0.865	0.001	0.280		
 29.30	79.17	64.303	1.40E+00	79.24	1.017	0.002	0.321		
 31.63	82.24	42.380	1.29E+00	83.07	1.212	0.003	0.376		
 34.16	85.57	29.514	1.16E+00	87.26	1.476	0.006	0.454		
 36.88	89.33	21.450	1.04E+00	92.04	1.868	0.014	0.578		
 39.83	93.79	15.719	8.77E-01	97.93	2.602	0.039	0.822		
 43.01	99.36	11.245	6.08E-01	106.69	5.418	0.214	1.568		
 46.44	104.62	 9.787	2.08E-01	121.28	46.430	4.534	-3.482		
 50.14	102.83	26.564	7.16E-01	108.74	3.903	0.188	-0.828		
 54.15	99.81	52.024	7.29E-01	105.56	3.765	0.068	-0.317		
 58.47	97.98	28.392	6.65E-01	104.53	4.525	0.041	-0.106		
 63.13	96.98	20.561	5.94E-01	104.51	5.669	0.033	0.026		
 68.17	96.54	16.790	5.26E-01	105.13	7.242	0.031	0.132		
 73.61	96.56	14.479	4.61E-01	106.31	9.434	0.035	0.235		
 79.48	97.07	12.854	3.98E-01	108.08	12.640	0.047	0.358		
 85.83	98.20	11.594	3.35E-01	110.72	17.892	0.082	0.537		
 92.68	100.36	10.569	2.61E-01	115.04	29.468	0.229	0.891		
100.07	104.14	10.382	1.52E-01	123.51	86.488	1.777	1.489		
108.06	103.90	19.106	2.63E-01	118.51	28.996	0.670	-0.872		
116.68	97.22	13.384	2.59E-01	111.95	29.769	0.183	-0.284		
125.99	92.89	11.261	2.18E-01	109.12	42.034	0.112	-0.003		
136.05	91.63	10.322	1.81E-01	109.47	60.915	0.114	0.215		
146.90	94.00	 9.767	1.46E-01	113.71	93.761	0.201	0.487		
158.63	100.39	 9.731	1.06E-01	120.39	100.000	0.857	0.889		
171.28	104.77	11.743	1.28E-01	124.77	100.000	0.801	-0.573		
184.95	100.94	 9.883	1.17E-01	120.94	100.000	0.229	-0.159		
199.71	99.63	 9.272	9.54E-02	119.63	100.000	0.187	0.161		
215.65	101.09	 9.073	7.48E-02	121.09	100.000	0.417	0.521		
232.86	103.38	 9.837	6.98E-02	123.37	100.000	1.063	-0.231		
251.44	95.50	 9.050	6.68E-02	115.49	100.000	0.292	-0.140		
271.51	92.71	 8.750	5.37E-02	112.70	100.000	0.291	0.242		
293.17	100.05	 8.968	4.42E-02	120.05	100.000	0.966	0.215		
316.57	100.33	 8.704	4.34E-02	120.32	100.000	0.368	-0.154		
341.83	100.69	 8.527	3.49E-02	120.68	100.000	0.398	0.257		
369.11	101.95	 8.661	3.17E-02	121.94	100.000	0.746	-0.179		
398.57	95.10	 8.409	2.70E-02	115.10	100.000	0.361	0.071		
430.37	99.25	 8.477	2.30E-02	119.24	100.000	0.810	0.009		
464.72	100.61	 8.316	2.02E-02	120.60	100.000	0.397	0.020		
501.80	102.89	 8.352	1.74E-02	122.88	100.000	0.767	-0.059		
541.84	96.00	 8.239	1.49E-02	116.00	100.000	0.448	0.081		
585.08	101.61	 8.239	1.32E-02	121.61	100.000	0.569	-0.222		
631.77	103.92	 8.226	1.09E-02	123.91	100.000	0.841	0.098		
682.19	96.31	 8.154	9.44E-03	116.30	100.000	0.486	0.150		
736.63	101.45	 8.127	8.28E-03	121.44	100.000	0.378	-0.044		
795.41	96.31	 8.111	7.20E-03	116.30	100.000	0.373	-0.178		
858.89	101.07	 8.096	6.20E-03	121.07	100.000	0.373	-0.224		
927.43	95.61	 8.081	5.29E-03	115.60	100.000	0.377	-0.151		
1001.44	102.46	 8.076	4.48E-03	122.46	100.000	0.531	0.026		
1081.35	102.30	 8.093	3.97E-03	122.30	100.000	0.997	-0.542		
1167.65	94.41	 8.049	3.39E-03	114.41	100.000	0.283	-0.384		
1260.83	101.46	 8.057	2.97E-03	121.45	100.000	0.646	-0.826		
1361.44	103.57	 8.050	2.46E-03	123.56	100.000	0.788	-0.239		
