# Program: SpeAcouPy
# Version: 0.5.1
# Generated: 2025-08-19T13:13:12.739884+02:00
Frequency (Hz),Impedance Magnitude (Ω),Impedance Phase (degrees),SPL (dB-SPL @ 1m / 2pi)
5.000000000000001,8.8707163580282,23.075991863648028,25.049926898208664
5.128734747734854,8.918227595971615,23.640318392158747,25.921781008709974
5.260784022524576,8.968505942387079,24.217029196429678,26.7931470141906
5.396233163330027,9.021731763580597,24.806286831864696,27.66400859123886
5.535169706329974,9.078099459231174,25.408246687592793,28.53434937922982
5.67768344149277,9.137818828843681,26.0230559479821,29.40415304642894
5.823866470604554,9.201116604527796,26.65085245033069,30.273403364485375
5.9738132667915025,9.268238174568049,27.29176342576679,31.142084292027285
6.127620735574607,9.339449526458916,27.945904108082175,32.01018006884344
6.285388277496415,9.415039443117724,28.613376192406946,32.877675319094394
6.447217852360235,9.495321992042589,29.294266122191516,33.74455516749278
6.613214045123283,9.58063935448412,29.988643178737533,34.61080536636331
6.78348413348639,9.671365050539844,30.696557342319778,35.476412436998224
6.958138157223937,9.767907626827052,31.41803688752441,36.34136382369284
7.137288989298832,9.870714886509681,32.15308566747467,37.205648063755255
7.321052408808456,9.980278757543289,32.901680031732496,38.06925497226943
7.509547175808775,10.097140914822544,33.663765310327676,38.93217584438843
7.702895108064919,10.221899296452365,34.439251780915754,39.794403675109805
7.901221159777872,10.35521568489387,35.22801001662654,40.655933397632694
8.10465350233813,10.497824561926976,36.02986548760131,41.51676214202069
8.313323607158505,10.650543494412158,36.844592258024505,42.37688951383315
8.527366330639655,10.81428536862155,37.67190558063959,43.23631789566711
8.746920001323168,10.990072868302622,38.511453139632636,44.095052770731826
8.972126509288621,11.179055690814106,39.36280462676797,44.95310307146297
9.203131397852315,11.38253112363797,40.225439249884374,45.81048155226441
9.440083957626959,11.601968769875315,41.098730660597084,46.66720518950711
9.683137323003145,11.839040429118452,41.981928640032606,47.52329560831203
9.932448571114893,12.09565642759904,42.87413668469296,48.37877953821818
10.188178823353269,12.374010074315589,43.774284370827644,49.2336892983183
10.450493349493657,12.676632434153214,44.68109301891562,50.088063313530725
10.719561674504021,13.006460306656999,45.59303269241312,50.94194666273468
10.995557688103116,13.36692125514353,46.50826789186621,51.79539166002469
11.27865975713951,13.762040855173852,47.424588365530155,52.64845847012096
11.569050840864024,14.19657918720409,48.33932012880422,53.50121575950909
11.866918609170089,14.676206230808242,49.249209881301596,54.35374138318022
12.172455563878396,15.207729601420342,50.15027324473479,55.20612310899872
12.485859163144312,15.799393584307415,51.03759316437581,56.05845937925315
12.807331949068374,16.461276575105106,51.90504869574261,56.9108601100602
13.137081678592338,17.205826286563234,52.7449450488721,57.76344752821083
13.475321457765487,18.04859078971708,53.547501200361836,58.616357044065865
13.822269879467784,19.00923252395701,54.3001282139366,59.469738158355796
14.178151164679049,20.11295836949027,54.98639368302099,60.32375539884094
14.543195307385362,21.392572819195475,55.58450471239894,61.178589280786696
14.91763822321635,22.891482169382236,56.06503376391498,62.03443728170014
15.30172190190946,24.668177664185066,56.38742072765291,62.89151481660099
15.695694563699695,26.803057375038893,56.49443668034695,63.75005619440462
16.09981081973593,29.40898630585832,56.3031409969924,64.61031552690899
16.514331836627438,32.64780245536845,55.68959955716139,65.47256755161065
16.939525505227014,36.75583923277192,54.462144487662755,66.33710831286662
17.375666613759712,42.080655816239734,52.31313152315454,67.20425562601109
17.823037025409164,49.11906772899701,48.73089904034205,68.07434921902541
18.28192586047616,58.47947314419924,42.84791407602734,68.94775040721682
18.752629683227294,70.40261520741936,33.25857769554375,69.82484110249686
19.235452693554368,82.74585944943013,18.271818799227418,70.70602188453152
19.730706923568448,87.97367391079158,-1.8482883131893573,71.5917087603381
20.238712439255636,80.18169410066145,-21.98047357376754,72.4823281007784
20.759797547324794,65.96194499676209,-36.90149454751665,73.37830905431194
21.29429900738109,52.89681516666589,-46.24317291734809,74.28007248196953
21.84256224956223,42.8706854719485,-51.68244674976515,75.18801511048592
22.404941597778272,35.43299820061248,-54.63258982650615,76.10248713330373
22.981800498699087,29.857018307966328,-55.9636756566032,77.02376086824083
23.57351175663765,25.583791038263918,-56.18275689958895,77.9519872696963
24.180457774480708,22.232855227057307,-55.58727125442678,78.88713606559251
24.80303080082291,19.550072434393243,-54.35417992541224,79.82891404969473
25.441633183463654,17.363935141500118,-52.58873575865542,80.77665469344251
26.096677629430822,15.556594202897289,-50.3514734715757,81.7291710063701
26.76858747169933,14.045611403812716,-47.67372096560072,82.68456306706682
27.457796942776834,12.772518674120104,-44.567081129188864,83.63997306715933
28.164751455333477,11.695570332649794,-41.02987390141371,84.59128622517726
28.889907890056907,10.785085173905037,-37.05232570915285,85.53278899592301
29.633734890918827,10.020406624528407,-32.62169911046354,86.45682122248097
30.39671316804361,9.387880104457604,-27.728200192326057,87.35350026294125
31.17933580837496,8.879460467094553,-22.372125406927267,88.21065103312775
31.982108594341245,8.491688368082436,-16.572097464276567,89.01412942083068
32.805550330725474,8.224860413497144,-10.373275779470731,89.74873496350102
33.650193179951266,8.08229926388642,-3.8532808324075347,90.39980780173961
34.51658300600128,8.069727304930433,2.8771096388815067,90.95535274667144
35.40527972719061,8.194856109236074,9.680697736515725,91.40819302307153
36.31685767802296,8.467388829630055,16.407661711163257,91.75743756533329
37.251905980363524,8.899654113414057,22.912685916307566,92.00868138919056
38.21102892416843,9.50805225633066,29.069813315491132,92.17285494605763
39.19484635801685,10.315469091280313,34.78042589718763,92.26419094570744
40.203994089697964,11.354906326990251,39.97279400061413,92.29802887971665
41.23912429711212,12.674882523668163,44.59438751524914,92.28904043109853
42.300905949751105,14.347778729835024,48.59898385283128,92.25012672052193
43.39002524103049,16.48345892470681,51.92937769625476,92.19194831711437
44.50718603175308,19.25272867564464,54.49356351177332,92.12290672383075
45.65311030499027,22.929686795422594,56.12704005250927,92.04938042066983
46.828538632675134,27.97084297658295,56.52312534231635,91.97606491998576
48.034230654208976,35.1618942209967,55.087590033517586,91.90632420629558
49.27096556739045,45.84131072776497,50.6142534093824,91.84250704708431
50.53954263198456,61.76629968612766,40.6185710542768,91.78621117379839
51.84078168625723,81.1233780807044,21.069822064215117,91.73849436648601
53.17552367680881,87.19601382099638,-7.1069619145528975,91.70003874719306
54.54463120204933,72.78506568165501,-30.543984591778667,91.67127693863318
55.9489890696666,56.50103810391823,-43.76015903355025,91.65248868582985
