# Program: SpeAcouPy
# Version: 0.5.1
# Generated: 2025-08-28T13:01:51.551619+02:00
Frequency (Hz),Impedance Magnitude (Ω),Impedance Phase (degrees),SPL (dB-SPL @ 1m / 2pi)
10.0,12.107393850594207,42.9617046702121,48.64862990133422
10.290769377475007,12.42800856965364,43.984831235025126,49.612576515466664
10.589993438037729,12.780847276397685,45.01599999412559,50.57576966081218
10.897918017981992,13.170430031084424,46.05280225711297,51.53826914503733
11.21479610176822,13.602157276003116,47.09227370221677,52.500146566691434
11.540888029870247,14.082535464899385,48.13074728434603,53.46148649798522
11.876461712665654,14.619475353463294,49.16365657475433,54.42238774783063
12.221792850545409,15.222691502172246,50.18526923609252,55.38296470780981
12.577165160423567,15.904244954497056,51.188320430959664,56.34334878328767
12.942870608833235,16.679291874231023,52.1635003387706,57.3036899111309
13.319209651800229,17.567133898064807,53.09872474234385,58.264158164301975
13.706491481691534,18.59271928825552,53.97807591624286,59.22494544175427
14.105034281241325,19.788832143531323,54.78023004271904,60.18626723925854
14.515165484963344,21.19935600689918,55.476062816223646,61.1483644926262
14.937222048164285,22.884255702437603,56.024898943456066,62.11150547865539
15.371550723779354,24.927373723515466,56.36844619380349,63.07598775016793
15.818508347257234,27.448937465132445,56.42062345227325,64.04214006852358
16.278462129728744,30.62605368936277,56.04980148301985,65.0103242782904
16.751789959699913,34.726572631426194,55.04641404091035,65.980937041891
17.238880713517315,40.16324794351985,53.061281330703935,66.95441131358561
17.74013457486084,47.56526846175327,49.484592000380644,67.93121737716692
18.25596336352635,57.77811420603185,43.215198956296064,68.9118631931876
18.78679087376826,71.2248232229773,32.33893982153114,69.89689368932879
19.33305322248013,84.6019070262234,14.541163039455085,70.88688846720464
19.895199207499306,86.74903469853942,-8.81413161981186,71.88245716980514
20.473690676329877,73.9566641738701,-29.592672044254385,72.88423142644814
21.069002905587105,58.07604875586418,-43.00897155146862,73.89285182485318
21.68162499147477,45.565914171911565,-50.53558211060934,74.90894769456828
22.312060251616522,36.58797470484389,-54.43906234494678,75.93310654309751
22.960826638571266,30.11904622080071,-56.13547754657145,76.96582866166872
23.628457165372158,25.330894673701156,-56.400985223227906,78.00746058518435
24.315500343439155,21.6819695173945,-55.6609863350119,79.05809861977048
25.022520633224666,18.8280631165955,-54.152700555217294,80.11745046331447
25.750098907962492,16.54728400158676,-52.007817988541404,81.18463915565657
26.4988329309013,14.693215848411269,-49.29510968355058,82.25792982982281
27.26933784641454,13.167161714465584,-46.04353006824846,83.3343577541334
28.062246685390285,11.901674221883596,-42.255910250582275,84.4092399724803
28.878210885316385,10.850632034928955,-37.91854971301518,85.47557037675031
29.717900825487924,9.983157314376767,-33.00990109161552,86.52334251609713
30.582006377777024,9.279817360282586,-27.510550196955307,87.53893268529856
31.471237473417315,8.730172305858586,-21.41588807835734,88.50481613897044
32.38632468626868,8.33106425639831,-14.751494901398246,89.40004892538695
33.32801983304164,8.085251875574246,-7.588788235557843,90.2020044054742
34.297096590974455,8.000195439241264,-0.05535044408389922,90.88959041645823
35.29435113347024,8.087059231827862,7.667246225876028,91.44744647158714
36.32060278421656,8.36029112645395,15.362142613379064,91.8697069917586
37.376694690324946,8.838328920831334,22.80813887924583,92.16160635085716
38.463494515042846,9.545970113290815,29.810628149514685,92.33808897061932
39.58189515060808,10.518856441394053,36.21975412870506,92.42015349449795
40.732815451830405,11.810718628863095,41.93024869302553,92.43063196915215
41.91720099100369,13.504885330535103,46.86526341633714,92.39087337555495
43.13602483476858,15.733523941492464,50.948702373852825,92.31890122497107
44.39028834356379,18.712148527680345,54.066052481813074,92.22885754571904
45.681021994323174,22.80568325806585,56.00281937839716,92.13124995267768
47.009286227094314,28.661227267341705,56.326582074692794,92.03355940541763
48.37617231627398,37.47275020284691,54.120019439925954,91.94092386327695
49.78280326717662,51.35566006775953,47.326910745053084,91.85675677607213
51.23033473867241,72.07006246074558,31.507912152003257,91.78325149209918
52.71995599265238,87.8836255832722,2.5666885163919915,91.72176988904724
54.252890871101705,76.58342675738653,-26.673100958705447,91.673132644805
55.830398801582675,57.81472490619114,-43.18580198096879,91.63783320930159
57.4537758319544,44.64250957323264,-50.9986571405488,91.61619600201863
59.124355695179,36.1101898917503,-54.60113502258952,91.60849590916999
60.843510905088806,30.356276736114218,-56.09512551334413,91.61505270592274
62.61265388401543,26.2712634944281,-56.43911639854187,91.63631131531506
64.43323812320673,23.238289567592474,-56.105976449766445,91.67291705547059
66.30675937698511,20.902101303386672,-55.3479060395581,91.72579427356837
68.23475689162818,19.04750218684218,-54.30769776730948,91.79623708703639
70.21881466998192,17.537646486394245,-53.06926611585871,91.88602254553044
72.26056277284424,16.281634240554215,-51.68225301135874,91.99755982739062
74.3616786581896,15.216671530527117,-50.17456806403763,92.13409493965015
76.52388855933343,14.297766146160445,-48.55875081275093,92.30000037772646
78.7489689031698,13.491487665297438,-46.83472233050398,92.50119623753855
81.03874776964713,12.771996067619208,-44.989904151139285,92.74577884091327
83.39510639368058,12.118358397956305,-42.996667311015614,93.04498556130902
85.81998071073576,11.512582181130158,-40.805989931642074,93.41472083002174
88.31536294735355,10.938008381038836,-38.33430192078566,93.87804867901933
90.88330325792165,10.377857213620148,-35.43612515170318,94.46939613329512
93.52591140903944,9.814036661602803,-31.843429830871514,95.24180250198698
96.2453585128584,9.227810742871258,-27.01723646889613,96.27912366456313
99.0438788108226,8.612595645472323,-19.736566134481563,97.7112746222049
101.92377150927594,8.0702101943446,-6.834301845646905,99.67750873770837
104.88740266844158,8.600898321427334,19.5198394022199,101.69160387309978
107.93720714632884,19.877252391759065,54.77886846154891,100.42071147982604
111.07569059916167,51.00383894878873,-47.46723483084014,95.54432233004114
114.30543153997421,20.618069957557243,-55.205103727849604,90.4471221170089
117.62908345706316,15.533255266066293,-50.65427172895119,85.60810349288944
121.04937699403982,13.478732080189845,-46.80186961409251,80.70339559008238
124.5691221932692,12.341852335509346,-43.71534591310393,75.27171715867608
128.1912108045436,11.599182008759076,-41.1419488845122,68.55933676826109
131.918618660884,11.061152378486968,-38.90164027722321,58.717763243604026
135.75440812342288,10.642434886662945,-36.87512121851222,36.001006875088535
139.7017305973765,10.298314949606796,-34.976754799381496,45.09632640025845
143.76382912117447,10.002094979311895,-33.134674108848486,62.04092842538303
147.94404103087308,9.73533007885163,-31.273299049352858,71.00294014539367
152.2458007020414,9.482406435985848,-29.289233680060278,77.5724584300774
156.67264237137312,9.22576386155103,-26.999822109098147,83.20785375511142
161.2282030403419,8.93810419566747,-23.991059855222915,88.67240802432451
165.9162254632874,8.563913809767456,-18.98453325840623,94.74571303998714
170.7405612223836,8.042505334991008,-5.159868385437619,103.08695799386548
175.70517389202007,78.38621070776126,22.62341216682873,110.69242774297479
180.81414229519203,11.850795508683307,-42.05494801849974,103.12377909355192
186.07166385457717,10.242727147772696,-34.64121273479614,99.59915924090657
191.48205804105066,9.706646431805773,-31.05770630259417,97.73303368254814
197.0497699224735,9.411374200555732,-28.686115550986273,96.64862818621796
202.77937381566846,9.20762902436857,-26.826543095666608,96.03411794985635
208.67557704458375,9.047025652275474,-25.198178600842596,95.77014330408566
214.743223807733,8.907023952356484,-23.634143382833486,95.83873250506963
220.98729915808792,8.771540429363318,-21.961633205763462,96.32085579547461
227.41293309869607,8.61900212892709,-19.83783296444642,97.48566518991927
234.0254047973833,8.39188719333691,-15.974751653433685,100.21578287238728
240.8301469240103,8.087705532658836,7.009077499269438,109.6633587642973
247.83275011384106,9.868720164408483,-32.19602062504205,98.71083304088643
255.03896756069324,9.032212711236683,-25.03339546910928,86.74239798158682
262.4547197436425,8.810805727201469,-22.463417152625283,75.46449381528154
270.08609929116597,8.686652819742925,-20.817563380864982,56.45394372032406
