# Program: SpeAcouPy
# Version: 0.5.1
# Generated: 2025-08-21T22:09:24.616575+02:00
Frequency (Hz),Impedance Magnitude (Ω),Impedance Phase (degrees),SPL (dB-SPL @ 1m / 2pi)
5.000000000000001,8.8707163580282,23.075991863648028,25.049926898176274
5.128734747734854,8.918227595971615,23.640318392158747,25.92178100878447
5.260784022524576,8.968505942387079,24.217029196429678,26.793147014210025
5.396233163330027,9.021731763580597,24.806286831864696,27.66400859124009
5.535169706329974,9.078099459231174,25.408246687592793,28.53434937925064
5.67768344149277,9.137818828843681,26.0230559479821,29.404153046436786
5.823866470604554,9.201116604527794,26.65085245033069,30.273403364443432
5.9738132667915025,9.26823817456805,27.29176342576679,31.142084292083734
6.127620735574607,9.339449526458916,27.945904108082175,32.010180068871826
6.285388277496415,9.415039443117724,28.613376192406946,32.87767531912679
6.447217852360235,9.495321992042589,29.294266122191544,33.744555167440076
6.613214045123283,9.580639354484122,29.988643178737533,34.61080536633207
6.78348413348639,9.671365050539846,30.696557342319807,35.47641243695271
6.958138157223937,9.767907626827052,31.41803688752441,36.3413638237129
7.137288989298832,9.870714886509681,32.15308566747467,37.205648063762474
7.321052408808456,9.980278757543287,32.901680031732496,38.06925497225566
7.509547175808775,10.097140914822544,33.663765310327676,38.9321758443717
7.702895108064919,10.221899296452364,34.439251780915754,39.79440367508047
7.901221159777872,10.355215684893869,35.22801001662651,40.65593339766564
8.10465350233813,10.497824561926977,36.02986548760134,41.51676214203495
8.313323607158505,10.650543494412156,36.844592258024505,42.3768895138669
8.527366330639655,10.81428536862155,37.67190558063959,43.236317895658814
8.746920001323168,10.990072868302622,38.511453139632636,44.095052770754776
8.972126509288621,11.179055690814106,39.36280462676797,44.95310307144679
9.203131397852315,11.38253112363797,40.225439249884374,45.810481552254856
9.440083957626959,11.601968769875317,41.098730660597084,46.66720518950295
9.683137323003145,11.839040429118453,41.981928640032606,47.523295608320346
9.932448571114893,12.095656427599042,42.87413668469296,48.37877953820601
10.188178823353269,12.374010074315587,43.774284370827615,49.23368929830332
10.450493349493657,12.676632434153209,44.68109301891562,50.08806331353551
10.719561674504021,13.006460306657006,45.593032692413146,50.941946662750325
10.995557688103116,13.366921255143522,46.50826789186621,51.795391660008995
11.27865975713951,13.762040855173845,47.424588365530155,52.64845847012437
11.569050840864024,14.196579187204108,48.339320128804275,53.50121575949444
11.866918609170089,14.676206230808232,49.24920988130157,54.353741383178956
12.172455563878396,15.207729601420326,50.15027324473476,55.20612310900704
12.485859163144312,15.799393584307436,51.037593164375835,56.05845937925612
12.807331949068374,16.46127657510511,51.90504869574261,56.910860110068484
13.137081678592338,17.205826286563248,52.744945048872125,57.76344752822207
13.475321457765487,18.04859078971708,53.547501200361836,58.616357044073126
13.822269879467784,19.009232523957017,54.3001282139366,59.46973815834624
14.178151164679049,20.112958369490322,54.98639368302102,60.323755398832475
14.543195307385362,21.392572819195482,55.58450471239894,61.178589280790796
14.91763822321635,22.891482169382236,56.06503376391498,62.034437281694736
15.30172190190946,24.668177664185034,56.38742072765291,62.891514816600456
15.695694563699695,26.803057375038705,56.49443668034695,63.75005619439494
16.09981081973593,29.408986305858377,56.3031409969924,64.61031552691612
16.514331836627438,32.64780245536817,55.68959955716144,65.47256755160657
16.939525505227014,36.75583923277183,54.46214448766278,66.33710831285848
17.375666613759712,42.080655816239656,52.31313152315457,67.20425562601419
17.823037025409164,49.119067728996654,48.73089904034225,68.07434921902654
18.28192586047616,58.47947314419954,42.84791407602711,68.94775040721628
18.752629683227294,70.40261520741969,33.25857769554344,69.82484110249555
19.235452693554368,82.74585944942993,18.271818799227788,70.70602188453195
19.730706923568448,87.97367391079149,-1.8482883131910057,71.59170876033401
20.238712439255636,80.18169410066162,-21.980473573767284,72.4823281007728
20.759797547324794,65.96194499676146,-36.90149454751716,73.37830905430748
21.29429900738109,52.8968151666651,-46.24317291734857,74.28007248197231
21.84256224956223,42.87068547194824,-51.68244674976526,75.18801511048952
22.404941597778272,35.43299820061225,-54.63258982650622,76.10248713330306
22.981800498699087,29.8570183079664,-55.9636756566032,77.02376086824049
23.57351175663765,25.583791038264,-56.18275689958895,77.95198726969828
24.180457774480708,22.232855227057446,-55.58727125442681,78.88713606559533
24.80303080082291,19.550072434393194,-54.3541799254122,79.8289140496982
25.441633183463654,17.363935141499912,-52.588735758655204,80.77665469344458
26.096677629430822,15.556594202897475,-50.351473471575986,81.72917100637214
26.76858747169933,14.045611403812675,-47.67372096560064,82.68456306706504
27.457796942776834,12.772518674120208,-44.56708112918915,83.63997306715795
28.164751455333477,11.695570332649845,-41.02987390141391,84.59128622517949
28.889907890056907,10.785085173905061,-37.05232570915297,85.53278899592482
29.633734890918827,10.020406624528375,-32.62169911046331,86.45682122248115
30.39671316804361,9.387880104457581,-27.728200192325858,87.35350026293978
31.17933580837496,8.879460467094539,-22.37212540692707,88.21065103313057
31.982108594341245,8.491688368082384,-16.57209746427563,89.0141294208301
32.805550330725474,8.22486041349713,-10.373275779470248,89.748734963499
33.650193179951266,8.082299263886407,-3.853280832406739,90.39980780173818
34.51658300600128,8.069727304930435,2.877109638881848,90.9553527466725
35.40527972719061,8.194856109236081,9.680697736516038,91.40819302307101
36.31685767802296,8.467388829630078,16.407661711163655,91.75743756533514
37.251905980363524,8.899654113414066,22.91268591630765,92.00868138919199
38.21102892416843,9.508052256330659,29.069813315491103,92.17285494605834
39.19484635801685,10.31546909128025,34.78042589718723,92.26419094570785
40.203994089697964,11.35490632699024,39.9727940006141,92.29802887971609
41.23912429711212,12.674882523668172,44.59438751524917,92.28904043109834
42.300905949751105,14.347778729835005,48.598983852831225,92.25012672052227
43.39002524103049,16.4834589247067,51.92937769625462,92.19194831711484
44.50718603175308,19.252728675644537,54.49356351177326,92.1229067238306
45.65311030499027,22.929686795422636,56.1270400525093,92.0493804206709
46.828538632675134,27.97084297658308,56.52312534231635,91.97606491998522
48.034230654208976,35.16189422099629,55.08759003351773,91.90632420629477
49.27096556739045,45.84131072776422,50.6142534093828,91.84250704708326
50.53954263198456,61.766299686127674,40.61857105427677,91.78621117379927
51.84078168625723,81.12337808070417,21.069822064215458,91.73849436648467
53.17552367680881,87.1960138209964,-7.106961914552841,91.70003874719292
54.54463120204933,72.78506568165591,-30.543984591777786,91.67127693863202
55.9489890696666,56.501038103918326,-43.76015903355017,91.65248868582877
57.389504868447304,44.899420498157376,-50.50653330714445,91.64387550867792
58.86710955482084,37.02401568628383,-53.87819955893477,91.64561969469713
60.3827580545048,31.510181399332282,-55.43043847495822,91.65793279816467
61.93742987964106,27.488004574525792,-55.93240134761925,91.68109792193911
63.532129761821196,24.44270702193288,-55.788321148064426,91.71550946596435
65.16788830141039,22.063446964694908,-55.22477456179023,91.76171374501135
66.8457626335894,20.155132477300537,-54.37569566720494,91.82045392505785
68.5668371115452,18.590348519444714,-53.32337690566621,91.89272314779599
70.33222400725148,17.282766100168665,-52.11947192802046,91.97983060053781
72.14306423029241,16.171923815164842,-50.79629045677018,92.08348681810861
74.0005280651936,15.21418199234604,-49.373046052207656,92.20591697629467
75.90581592773731,14.377141556553047,-47.859268826985215,92.35001486871077
77.86015914075038,13.6360731708465,-46.256446457985675,92.51955653248955
79.86482072986647,12.971546324226393,-44.55835400999052,92.71950262870493
81.92109623977618,12.367788754822515,-42.75014099593176,92.95643536862359
84.0303145714942,11.811492219701325,-40.8058723654008,93.2392037590944
86.19383884118253,11.290885795716168,-38.68368572296748,93.57989863937092
88.41306726108614,10.79496619861234,-36.31671775113176,93.99536073726594
90.68943404315024,10.312850240557099,-33.595745508762064,94.50956134129108
93.02441032590254,9.833404620468755,-30.33415968548178,95.15739220094396
95.41950512520022,9.346022750320158,-26.191826527608725,95.99049014268655
97.87626630945564,8.84655400397519,-20.494118258260357,97.08430463114325
100.39628159997103,8.368315687092029,-11.763869085950489,98.5329142735282
102.98117959702893,8.155054681843254,3.441028695802885,100.3269318166353
105.63263083240113,9.778244410559148,30.707008396521246,101.56778136273276
108.35234884895674,25.733149281396724,56.62244912722235,99.71835812364324
111.14209130806655,48.72891576380833,-48.21848868504168,95.46450376246523
114.00366112552013,21.2015168840425,-54.567273921112715,91.00493263596753
116.93890763668881,15.931307936771768,-50.11305262855916,86.72010232798085
119.94972779168847,13.756870302814988,-46.16028905140925,82.43018710121162
123.03806738131392,12.554412720357394,-42.9364714391906,77.84957106030939
126.20592229453737,11.77561027256747,-40.23558222043761,72.56869061896572
129.45533980838368,11.218470206705343,-37.890273740774035,65.82710896984179
132.78841991101606,10.791637030108815,-35.78608234366499,55.600625350153535
136.20731665888692,10.447619764411183,-33.84290525034143,29.51806118057234
139.7142395688315,10.158925646504983,-31.999861046642934,45.358994410682214
143.31145504600354,9.908011826668691,-30.204178860318336,60.90528763920625
147.0012878485759,9.682408793371591,-28.401176588067955,69.4083834300541
150.7861225901529,9.471890039659302,-26.521270995546672,75.61566980250555
154.66840528086502,9.266237515559798,-24.456065554106402,80.82033944278325
158.65064490814183,9.052479134941446,-22.001186976035513,85.64300297633062
162.73541505818608,8.809999832835373,-18.68352910765566,90.55944990889289
166.9253555791945,8.503729983355322,-13.053009595452522,96.20092943086027
171.22317428740212,8.217469833329938,2.1957480774007934,103.97191753803902
175.63164871705197,70.44450566750415,33.26501259237861,110.7294799733437
180.1536279154212,12.071876976502786,-40.8048225269267,103.9790583103875
184.79203428406316,10.277008578350417,-32.226025555578246,100.3828357243471
189.549865467457,9.71734029611088,-28.11669383820245,98.39476807513674
194.43019629028265,9.425024650447641,-25.451321681948542,97.18021521375078
199.43618074457612,9.232919855710438,-23.410409076598256,96.42142857000314
204.5710540280472,9.08900931679522,-21.677515318400737,95.98029812708697
209.83813463487795,8.971196237580495,-20.09103561406394,95.802160211573
215.24082650035248,8.867346460493556,-18.535822902694036,95.88881865420956
220.78262120070528,8.768175613270271,-16.881860912720583,96.30581597878503
226.46710020960774,8.662226297611559,-14.886743208665308,97.23687598779503
232.29793721275323,8.525888537734497,-11.823366698578013,99.19131073140052
238.27890048203528,8.3057363811897,-3.271743982112156,104.1413766335018
244.41385531085382,14.256828586361458,-46.17110311623236,108.67974090535378
250.7067665121229,9.237408532666965,-22.676827236554402,93.4247764292037
257.1617009805947,8.911626228430851,-18.422885910535115,83.68624470559138
263.78283032115513,8.780225120761301,-16.227789529399274,73.06588628576786
270.57443354479096,8.699648318403323,-14.637930518455505,54.241598346905924
277.5408998339688,8.639353267487687,-13.27179657479789,50.32559091789616
284.6867313792148,8.587587843817026,-11.943034321588954,71.44202009756405
292.0165462887274,8.53591478725987,-10.446810042364461,82.24316017582582
299.5350815729041,8.469447685381526,-8.214382809044281,91.60583484231222
307.2471962057093,8.345856752190736,-0.2127438782419233,104.86166262012478
315.1578742648659,9.048676758226954,-19.33195981809223,106.52632747822742
323.27222815289383,8.656067396425184,-12.561320347507348,99.74878736535892
331.5955019010831,8.579268800486924,-10.511804979131597,97.41218331477761
340.13307455853266,8.53999679501681,-9.16915180516807,96.42629363583247
348.8904636684471,8.512293079985202,-8.012284524409608,96.22623328224984
357.87332883393776,8.487725380099944,-6.8030557827221685,96.83640412404104
367.0874753756315,8.457083501608768,-5.068493191852156,99.00777008729409
376.5388580834527,8.414593061926572,3.5788131856915015,108.6726321985278
386.2335850650012,8.60773844721964,-9.774875023981423,95.76565541272102
396.17792169301526,8.525094719563143,-6.831372834046789,80.8819405170412
406.37829465446896,8.503221927373572,-5.5286940852995485,59.84568834325937
416.8412961039215,8.491808848623556,-4.495555773504293,59.43021613943448
427.5736879238029,8.483036571254528,-3.408694105581958,80.37802099504952
438.5824060943891,8.469650175947589,-1.5144259172053296,94.71224664460956
449.8745651762903,8.742138158970993,-11.409570179010586,110.9384064171754
461.4574629083495,8.520840628635101,-3.858719772693064,99.07024163369977
473.33858492392375,8.51160195850736,-2.5640942980737123,96.68508455441184
485.5256095885944,8.511225797157243,-1.6264215502778256,96.23777137998758
498.02641296243405,8.513175652699019,-0.6132352583432805,97.44015040281609
510.8490738900365,8.517138073153536,2.0919004918700352,104.23358797157086
524.0018792215999,8.549885599943414,-2.068617550344726,94.27437652606905
537.493329168436,8.544567524206075,-0.32146377345702604,74.1235379734297
551.332142796369,8.55137741629688,0.5773604992593278,46.5603255203831
565.5272636605702,8.560870567182814,1.478064984674404,81.424496845798
580.0878655854751,8.58230925346753,4.129334698988686,102.99756082145615
595.0233585935142,8.586454734718188,0.93086848458384,100.33310738938142
610.3433949864902,8.597116651554424,2.139460858248441,96.55146587114304
626.0578755835342,8.611148014627656,2.9351102849205972,96.29972954664666
642.1769561196669,8.629254787022862,4.025077791876214,99.70263302493139
658.7110538091076,8.636881921723617,2.1460530797441777,98.31331334188683
675.6708540775625,8.654347492187433,3.8515303067219975,72.16289654741779
