# Program: SpeAcouPy
# Version: 0.5.1
# Generated: 2025-08-17T11:30:16.686592+02:00
Frequency (Hz),Impedance Magnitude (Ω),Impedance Phase (degrees),SPL (dB-SPL @ 1m / 2pi)
10.0,6.882804589014641,35.22574649859416,71.65028992069502
10.233717986325198,6.961569294468974,36.0130627777782,72.04111859599946
10.472898382363585,7.0455815954085494,36.81763180455374,72.4316136610574
10.71766885445503,7.135300498953317,37.63977147792144,72.82175903079354
10.968160052731381,7.231238229342663,38.47979302035961,73.21153726076865
11.224505680853065,7.3339681332855,39.33799798138193,73.600929401423
11.486842567375536,7.444134032426063,40.21467456865332,73.98991483724552
11.755310738783695,7.562461340697351,41.110093152136244,74.37847110955653
12.030053494233242,7.689770346518842,42.024500746939964,74.76657372152428
12.311217482038902,7.826992166665095,42.958114228937006,75.15419592397333
12.598952777950274,7.9751880187016315,43.91111196974359,75.54130848049155
12.89341296525715,8.135572644011814,44.883623488702426,75.92787941030326
13.19475521676706,8.309542960307128,45.87571660112181,76.313873707357
13.50314037869873,8.498713354854882,46.88738138292737,76.69925303407943
13.818733056536322,8.704959481626227,47.918510055811765,77.08397538828167
14.14170170289024,8.930473046931775,48.96887160019838,77.46799474177752
14.472218707411342,9.177830932369103,50.03807949078782,77.8512606493936
14.810460488806754,9.450083221158486,51.1255503684751,78.23371782723163
15.156607589006025,9.750866431689571,52.23045063275009,78.61530569929359
15.510844769528406,10.084550779434732,53.35162673586399,78.99595791191744
15.873361110102094,10.456433993337258,54.48751318750186,79.37560181590804
16.24435010958867,10.872999760630082,55.63600961976721,79.7541579168053
16.624009789266125,11.342267339703678,56.79431419549286,80.13153929442464
17.012542798525892,11.874272068906805,57.95869428888264,80.50765099365776
17.41015652304016,12.481737518475915,59.12416520385156,80.88238938955045
17.817063195457308,13.181034389448673,60.28403100885592,81.25564153090306
18.233480008684413,13.99357901911671,61.42921336289305,81.62728446808262
18.65962923181746,14.947924539145486,62.54724495345803,81.99718457241121
19.095738328780975,16.082977763721313,63.62071491554258,82.36519685640998
19.542040079740534,17.453111558358806,64.62478490754381,82.73116430633468
19.99877270535286,19.136601237433467,65.52305982796878,83.09491724082406
20.4661799939199,21.25017104129578,66.26039461302014,83.45627271206976
20.944511431514698,23.97540372389573,66.74964297209456,83.81503396865789
21.434022335148573,27.60969599886364,66.84553199281925,84.17099000205447
21.93497398905059,32.67182602296766,66.28866590153496,84.52391520150186
22.44763378413224,40.13865494927185,64.57236585613902,84.87356914472402
22.972275360711524,52.01206667193405,60.58315275829088,85.21969655411895
23.50917875457287,72.55505797255165,51.49534630939024,85.56202744982639
24.058630546440657,106.68345180273694,29.670811254439485,85.9002775319314
24.620924014946254,119.97281979043755,-11.483823125240178,86.23414882379655
25.196359293170147,84.31228415555246,-42.92436330207636,86.5633306067802
25.785243528842738,57.077002618715866,-56.28369631893453,86.88750067305591
26.387891048289333,41.76521100555994,-61.79447398800903,87.20632691757805
27.00462352420682,32.54847457897628,-63.96911141627717,87.51946928216395
27.635770147361605,26.51594271229959,-64.48582319523285,87.82658205399943
28.281667802300326,22.301130292496513,-64.06140954707824,88.12731650756753
28.942661247167518,19.208484209113276,-63.04561576177272,88.42132386317425
29.619103297725534,16.853247173541234,-61.62778682223173,88.70825851724805
30.311355015675794,15.007204196334866,-59.91905970447482,88.98778148001419
