# Program: SpeAcouPy
# Version: 0.5.1
# Generated: 2025-08-17T11:30:16.241983+02:00
Frequency (Hz),Impedance Magnitude (Ω),Impedance Phase (degrees),SPL (dB-SPL @ 1m / 2pi)
10.0,6.882804589014641,35.22574649859416,71.31964177076318
10.233717986325198,6.961569294468974,36.0130627777782,71.69451835624369
10.472898382363585,7.0455815954085494,36.81763180455374,72.06827552176536
10.71766885445503,7.135300498953317,37.63977147792144,72.44085684473515
10.968160052731381,7.231238229342663,38.47979302035961,72.81220230740357
11.224505680853065,7.3339681332855,39.33799798138193,73.18224801033134
11.486842567375536,7.444134032426063,40.21467456865332,73.55092586020383
11.755310738783695,7.562461340697351,41.110093152136244,73.91816322971401
12.030053494233242,7.689770346518842,42.024500746939964,74.2838825870607
12.311217482038902,7.826992166665095,42.958114228937006,74.64800109242734
12.598952777950274,7.9751880187016315,43.91111196974359,75.0104301586199
12.89341296525715,8.135572644011814,44.883623488702426,75.37107497285079
13.19475521676706,8.309542960307128,45.87571660112181,75.72983397646267
13.50314037869873,8.498713354854882,46.88738138292737,76.0865982991921
13.818733056536322,8.704959481626227,47.918510055811765,76.44125114438353
14.14170170289024,8.930473046931775,48.96887160019838,76.79366712138048
14.472218707411342,9.177830932369103,50.03807949078782,77.1437115211488
14.810460488806754,9.450083221158486,51.1255503684751,77.49123953103077
15.156607589006025,9.750866431689571,52.23045063275009,77.83609538439306
15.510844769528406,10.084550779434732,53.35162673586399,78.17811144082422
15.873361110102094,10.456433993337258,54.48751318750186,78.51710719246009
16.24435010958867,10.872999760630082,55.63600961976721,78.85288819197808
16.624009789266125,11.342267339703678,56.79431419549286,79.18524489780432
17.012542798525892,11.874272068906805,57.95869428888264,79.5139514321252
17.41015652304016,12.481737518475915,59.12416520385156,79.83876424738573
17.817063195457308,13.181034389448673,60.28403100885592,80.15942069708478
18.233480008684413,13.99357901911671,61.42921336289305,80.47563750682826
18.65962923181746,14.947924539145486,62.54724495345803,80.78710914175268
19.095738328780975,16.082977763721313,63.62071491554258,81.09350606654253
19.542040079740534,17.453111558358806,64.62478490754381,81.39447289428043
19.99877270535286,19.136601237433467,65.52305982796878,81.68962642020132
20.4661799939199,21.25017104129578,66.26039461302014,81.97855353595614
20.944511431514698,23.97540372389573,66.74964297209456,82.26080901906172
21.434022335148573,27.60969599886364,66.84553199281925,82.53591319060746
21.93497398905059,32.67182602296766,66.28866590153496,82.80334943171724
22.44763378413224,40.13865494927185,64.57236585613902,83.06256154535717
22.972275360711524,52.01206667193405,60.58315275829088,83.31295094435859
23.50917875457287,72.55505797255165,51.49534630939024,83.553873638389
24.058630546440657,106.68345180273694,29.670811254439485,83.78463698129204
24.620924014946254,119.97281979043755,-11.483823125240178,84.00449612478826
25.196359293170147,84.31228415555246,-42.92436330207636,84.21265010380601
25.785243528842738,57.077002618715866,-56.28369631893453,84.40823745123865
26.387891048289333,41.76521100555994,-61.79447398800903,84.59033120388185
27.00462352420682,32.54847457897628,-63.96911141627717,84.75793311440103
27.635770147361605,26.51594271229959,-64.48582319523285,84.90996682348195
28.281667802300326,22.301130292496513,-64.06140954707824,85.04526966800577
28.942661247167518,19.208484209113276,-63.04561576177272,85.16258270005363
29.619103297725534,16.853247173541234,-61.62778682223173,85.26053836078083
30.311355015675794,15.007204196334866,-59.91905970447482,85.33764508286949
31.019785901380967,13.527078792952874,-57.98901672499045,85.39226787119605
31.744774091091934,12.318648280965009,-55.88360601657067,85.42260361272238
32.486706558783744,11.317530722136095,-53.63457522501291,85.42664946225383
33.24597932270942,10.478305823525632,-51.264743892943216,85.40216209313496
34.02299765678068,9.768055733340494,-48.79109733238738,85.34660481768084
34.81817630688966,9.162371955401252,-46.22667562516088,85.25707845548082
35.63193971228584,8.64279977117347,-43.58176452308672,85.13023017311133
36.464722232127485,8.195153022298383,-40.86466559601905,84.96213203241007
37.316968377327534,7.8083736980087775,-38.082204269584935,84.74811715672305
38.189133047818544,7.473742745745544,-35.24007018212163,84.48255537725196
39.08168177536266,7.1843233753145155,-32.343048181461484,84.15854039366064
39.99509097203666,6.934562024248329,-29.39517726794614,83.76744399942815
40.92984818452441,6.719998681885048,-26.39986217676983,83.29826427114696
41.886452354352706,6.537054750085451,-23.35995450508875,82.7366427373257
42.86541408420927,6.382877123451327,-20.277815354581207,82.06332700663104
43.86725591048499,6.255224039181137,-17.155368259255113,81.25165743278012
44.89251258218605,6.152382856796974,-13.994149051393038,80.26323159975809
45.94173134636476,6.073113119822138,-10.79535790052958,79.03991289242465
47.01547224022132,6.016610551533875,-7.5599178089863415,77.48782247202696
48.1143083900326,5.98248938972465,-4.288543220365909,75.44172208207414
49.23882631706739,5.970781911374533,-0.9818220067186303,72.57532504429756
50.3896262506515,5.981955323044989,2.359686106206226,68.17116973116195
51.56732244854966,6.016947563522743,5.7353316617008545,62.38741296576489
52.77254352483538,6.077225161178814,9.144235006168003,66.98026581432573
54.00593278542374,6.164868337025023,12.585119755067495,72.49594801330018
55.26814857144604,6.282691370083685,16.056116024119746,76.18200592210904
56.55986461065008,6.434410344263753,19.554527979911285,78.90211820387547
57.88177037701274,6.624876584307605,23.076557933137735,81.05742519259525
59.23457145875806,6.860403720538738,26.61697498812228,82.84345846805084
60.61898993497573,7.149231752968718,30.168708698600767,84.36773944747188
62.03576476104275,7.502196931530443,33.72233460922948,85.69507023762628
63.485652163052166,7.933719543778652,37.26539410692689,86.86724309234249
64.96942604146125,8.463297835294341,40.78144637880456,87.91263547647532
66.48787838417263,9.117835441948785,44.24866697212346,88.8513209791567
68.04181968927101,9.935395362766927,47.63764658240248,89.69799572211853
69.63207939763883,10.971506722224618,50.907718340756816,90.46375559416055
71.25950633568411,12.31028524717641,54.00044386971331,91.15722880761169
72.92496916841445,14.085214641312,56.82727779583584,91.78532595071063
74.62935686310138,16.52083116654122,59.244368142721385,92.35375125625174
76.37357916378024,20.023972942655227,60.99601701488007,92.86735762990217
78.15856707684091,25.40631089300337,61.571422245663115,93.33039500531723
79.98527336796712,34.499836064523635,59.77791606990769,93.74668323591985
81.8546730706903,51.99141161846202,52.17981322358932,94.11973025002149
83.76776400682918,86.21416903387797,27.02394749799501,94.45281004694831
85.72556731909324,89.96230301609013,-24.031833323071197,94.74901135446191
87.7291280161336,55.784525640863194,-51.46117700741556,95.01126530937745
89.77951553033323,37.57743885219247,-60.077996059095454,95.24235875331999
91.87782428863335,28.153851699302404,-62.60117526643084,95.44493832961902
94.02517429670132,22.60134810697053,-62.766175793270236,95.62150937176982
96.22271173675139,18.993929025453962,-61.84217962369388,95.77443253163341
98.47160957933774,16.483686581047923,-60.35970193629768,95.90592019687301
100.77306820944618,14.648189567156393,-58.57608418360192,96.01803399831903
103.12831606721848,13.2554516438936,-56.62991991929388,96.11268411372146
105.5386103036523,12.168109861401279,-54.60160832648634,96.19163063043604
108.00523745162528,11.299875204774125,-52.54031032089112,96.2564869219689
110.52951411260223,10.59391274126273,-50.477188200097146,96.3087248008736
113.11278765939214,10.011311422381208,-48.43243837157408,96.34968110886865
115.75643695533036,9.524562280422277,-46.41927365064643,96.3805653700099
118.46187309026836,9.113684298455615,-44.446301102207514,96.4024681427002
121.23054013376529,8.763825907840294,-42.519006427188344,96.41636974353099
124.06391590588318,8.463726649967075,-40.64071594270217,96.4231490669625
126.96351276599727,8.20469995108761,-38.813239926716335,96.42359228016025
129.93087842004158,7.979942346262395,-37.037314317977234,96.41840122575456
132.96759674662127,7.78405328721296,-35.312910627385435,96.40820141331045
136.07528864243332,7.612694351789108,-33.639457258484015,96.39354952119601
139.25561288744635,7.46234288027768,-32.015999801680806,96.37494036388864
142.51026703029993,7.330110902894318,-30.44131839462841,96.35281330591121
145.84098829439864,7.213610055567547,-28.914014328311083,96.32755812331924
149.2495545051829,7.110849434117953,-27.4325742852657,96.29952032792804
152.7377850390714,7.020157401026094,-25.99541810141602,96.26900597926132
156.30754179458174,6.9401210532195865,-24.600934263918532,96.23628601544607
159.9607301861488,6.869538877972029,-23.247506203582475,96.20160013778974
163.69930016117019,6.807383372118045,-21.933531632402264,96.16516028524399
167.52524724082156,6.752771269469343,-20.657436601187783,96.12715373494706
171.44061358519718,6.70493963586806,-19.417685536054705,96.08774586399741
175.44748908334597,6.663226531251512,-18.21278820746528,96.04708260588693
179.54801246878307,6.627055256853559,-17.0413043592593,96.00529263288239
183.74437246107266,6.595921439213475,-15.90184655558005,95.96248929328223
188.03880893409163,6.569382375574242,-14.79308167542706,95.91877233003366
192.43361411159802,6.547048194524287,-13.713731386917857,95.8742294047725
196.9311337907422,6.528574483268891,-12.662571858454669,95.82893744901139
201.53376859417332,6.513656107134766,-11.638432906244077,95.782963861994
206.2439752514093,6.5020220038428755,-10.640196732874813,95.73636757267734
211.06426791015548,6.493430779087708,-9.666796376860106,95.68919998141381
215.9972194782717,6.487666964215302,-8.717213965904165,95.64150579518278
221.04546299710216,6.4845378236373055,-7.7904788454204095,95.593323768662
226.21169304690264,6.483870620791102,-6.8856656371957286,95.54468736202809
231.49866718511612,6.485510268256169,-6.0018922700523945,95.4956253251212
236.90920741826318,6.489317301043612,-5.138318014123513,95.44616221648921
242.44620170823282,6.495166122833053,-4.294141542331204,95.39631886483357
248.112605513777,6.502943483606882,-3.4685990363644805,95.34611277949605
253.9114433680347,6.51254715416354,-2.660962349533037,95.29555851584595
259.8458104929247,6.523884768717437,-1.8705372350331118,95.24466800073766
265.91887445126935,6.536872811476353,-1.0966616451788695,95.19345082259962
272.13387683753086,6.551435726934464,-0.3387041048434014,95.14191449017972
278.4941350080644,6.567505136792087,0.4039378394173241,95.09006466349896
285.00304385181084,6.5850191490407335,1.1318390944337011,95.03790536014931
291.6640776023707,6.60392174693574,1.8455484205744312,94.98543913970494
298.4807916924327,6.624162247400263,2.545589758622185,94.93266726869322
305.4568246515432,6.645694819929071,3.2324634855560532,94.8795898682884
312.5959000482281,6.668478058340806,3.906647601802945,94.82620604663985
319.90182847750674,6.692474598806158,4.568598852773221,94.77251401752774
327.37850959485775,6.7176507784907775,5.2187537876480405,94.71851120684364
335.029934197723,6.743976329924422,5.857529758463329,94.66419434822404
342.86018635565864,6.771424106864386,6.485325862551974,94.60955956901279
350.87344559027144,6.799969837980982,7.1025238313798695,94.55460246759634
359.07398910610544,6.8295919051711405,7.709488868752771,94.49931818303799
367.4661940736688,6.8602711437159005,8.30657044128543,94.44370145783382
376.0545399658171,6.891990661849597,8.894103023924714,94.38774669452141
384.8436109487433,6.924735677611524,9.472406803205729,94.3314480067913
393.8380983288489,6.95849337111235,10.041788340800053,94.27479926568031
403.04280305680504,6.993252750573788,10.602541199791688,94.21779414136076
412.46263829013526,7.029004530695913,11.154946535990831,94.16042614098549
422.10263201569035,7.065741022077011,11.699273656471632,94.10268864299692
431.96792973341735,7.103456030558863,12.23578054739724,94.04457492826509
442.063797202853,7.142144765499797,12.764714373077084,93.98607820838009
452.39562325380535,7.1818037560906225,13.286311948084176,93.92719165138897
462.96892266272675,7.222430774927641,13.800800184151882,93.86790840523659
473.78933909631434,7.264024768143526,14.30839651346156,93.8082216191417
484.86264812390783,7.306585791473087,14.809309289832441,93.74812446311465
496.1947603002903,7.350114951698066,15.303738169228637,93.68761014580124
507.79172432054037,7.394614352974227,15.791874470908283,93.62667193081757
519.6597302486197,7.4400870475961325,16.273901520452455,93.56530315172168
531.8051128214197,7.486536990801371,16.749994975832294,93.50349722575375
544.2343548300266,7.53396899925669,17.220323137594647,93.44124766645996
556.9540905800136,7.582388712905027,17.685047244177184,93.37854809530384
569.9711094326076,7.631802559884437,18.14432175329381,93.31539225235595
583.2923594286206,7.682217724258884,18.598294610271296,93.25177400614223
596.924950997074,7.733642116326156,19.047107504155576,93.1876873627217
610.8761607505039,7.786084345291205,19.490896112353198,93.12312647405463
625.1534353689711,7.839553694113466,19.929790334520533,93.05808564571421
639.764395574843,7.894060096354977,20.363914516364105,92.99255934398698
654.7168402004744,7.949614114872429,20.793387663971174,92.92654220239947
670.0187503509591,8.00622692221097,21.21832364924623,92.86002902770258
685.6782936641738,8.063910282570625,21.63883140698971,92.79301480533749
701.7038286703829,8.122676535228068,22.055015124117773,92.72549470440227
718.1039092537357,8.182538579307087,22.46697442148738,92.65746408213099
734.8872892180387,8.243509859800628,22.874804528758318,92.58891848789288
752.0629269592408,8.305604354755843,23.27859645269342,92.51985366671315
769.6399902471159,8.368836563541452,23.67843713926962,92.45026556231203
787.6278611187063,8.43322149612358,24.074409629946047,92.38015031965433
806.0361408861346,8.498774663282674,24.466593212410658,92.30950428699727
824.8746552614581,8.56551206770967,24.85506356610287,92.23832401742004
844.1534596012983,8.633450195924834,25.23989290278857,92.16660626981584
863.8828442740454,8.702606010967186,25.621150102442755,92.09434800932317
884.0733401525063,8.772996945806899,25.998900844676882,92.02154640717212
904.7357242349292,8.844640897436527,26.37320773592819,91.94819883991875
925.8810253973954,8.917556221600467,26.744130432613133,91.8743028880413
947.5205302806546,8.991761728125265,27.11172576042958,91.79985633387221
969.6657893145522,9.067276676816006,27.476047829978597,91.72485715884214
992.3286228832545,9.144120773886716,27.83714814886133,91.64930354001596
1015.5211276345681,9.222314168894762,28.195075730393512,91.57319384590701
1039.2556829367131,9.301877452151682,28.549877199067367,91.49652663156267
1063.5449574860113,9.382831652584473,28.901596892878274,91.4193006329256
1088.4019160690066,9.465198236023381,29.250276962622593,91.34151476048694
1113.8398264826194,9.548999103893664,29.59595746826122,91.26316809226445
1139.8722666160525,9.634256592290528,29.93867647243411,91.18425986615593
1166.513131698196,9.720993471417847,30.27847013120021,91.10478947174137
1193.776641714437,9.809232945372713,30.61537278206916,91.02475644163093
1221.6773489967918,9.898998652259293,30.949417029381152,90.94416044248383
1250.230145991456,9.990314664616971,31.280633827084444,90.86300126585348
1279.4502732078734,10.083205490149133,31.60905255895227,90.78127881904528
1309.353327353611,10.177696072740709,31.934701116274653,90.69899311620762
